initial_alias,converted_alias,name,description,namespace
LOC111100562,LOC111100562,LOC111100562,"propionyl-CoA carboxylase alpha chain, mitochondrial-like, transcript variant X2",ENSG
LOC111101041,LOC111101041,LOC111101041,V-type proton ATPase subunit B,ENSG
LOC111104342,LOC111104342,LOC111104342,"rab-like protein 3, transcript variant X1",ENSG
LOC111112319,LOC111112319,LOC111112319,"ADP-ribosylation factor 2, transcript variant X1",ENSG
LOC111112439,LOC111112439,LOC111112439,kinesin heavy chain-like,ENSG
LOC111114596,LOC111114596,LOC111114596,"pyridoxine-5'-phosphate oxidase-like, transcript variant X1",ENSG
LOC111118263,LOC111118263,LOC111118263,UMP-CMP kinase-like,ENSG
LOC111120831,LOC111120831,LOC111120831,ATPase ASNA1 homolog,ENSG
LOC111121517,LOC111121517,LOC111121517,intraflagellar transport protein 27 homolog,ENSG
LOC111121838,LOC111121838,LOC111121838,ATP-binding cassette sub-family D member 3-like,ENSG
LOC111122859,LOC111122859,LOC111122859,uncharacterized LOC111122859,ENSG
LOC111123035,LOC111123035,LOC111123035,"translation factor Guf1, mitochondrial-like",ENSG
LOC111124294,LOC111124294,LOC111124294,ATP-dependent DNA helicase Q5-like,ENSG
LOC111125149,LOC111125149,LOC111125149,"multidrug resistance-associated protein 7-like, transcript variant X2",ENSG
LOC111125575,LOC111125575,LOC111125575,V-type proton ATPase catalytic subunit A-like,ENSG
LOC111125896,LOC111125896,LOC111125896,"ATP-binding cassette sub-family B member 8, mitochondrial-like",ENSG
LOC111128337,LOC111128337,LOC111128337,"C-1-tetrahydrofolate synthase, cytoplasmic-like",ENSG
LOC111130166,LOC111130166,LOC111130166,adenylosuccinate synthetase-like,ENSG
LOC111130537,LOC111130537,LOC111130537,N-acetylgalactosamine kinase-like,ENSG
LOC111131693,LOC111131693,LOC111131693,DNA replication licensing factor mcm5-like,ENSG
LOC111132090,LOC111132090,LOC111132090,"glutathione reductase, mitochondrial-like",ENSG
LOC111132874,LOC111132874,LOC111132874,DNA ligase-like,ENSG
LOC111134506,LOC111134506,LOC111134506,"short-chain specific acyl-CoA dehydrogenase, mitochondrial-like",ENSG
LOC111135545,LOC111135545,LOC111135545,"DNA replication licensing factor mcm4-A-like, transcript variant X1",ENSG
LOC111135733,LOC111135733,LOC111135733,"alanine--tRNA ligase, cytoplasmic-like",ENSG
LOC111137330,LOC111137330,LOC111137330,"aurora kinase A-like, transcript variant X3",ENSG
