"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","moduleColor","Cvirginica_ProteinID","Cvirginica_GeneID","Cvirginica_KEGGID"
"43","calmodulin-like protein 12","rna-XM_069254789.1",11.6727979327611,11.7177978823362,11.6955133263768,11.7160012215627,1.00385511253037,0.997904738853688,"costly activation","XM_022473715.1","red","calmodulin-like protein 12","LOC111128214","cvn:111128214"
"44","calmodulin-like protein 12","rna-XM_069254837.1",11.6834776375166,11.7333826271018,11.6970768964821,11.7364902599557,1.00427141568064,0.999101925742757,"costly activation","XM_022476255.1","red","calmodulin-like protein 12","LOC111129799","cvn:111129799"
"45","calmodulin-like protein 4","rna-XM_069250026.1",11.8986104302446,12.2108334005677,12.0921962206139,12.2356942866797,1.02624028849028,0.985994224898706,"costly activation","XM_022455030.1","brown","calmodulin-like protein 4","LOC111116046","cvn:111116046"
"46","caltractin-like","rna-XM_069254826.1",11.8447674642444,11.9692881160844,11.9037073952667,11.923200282232,1.01051271392334,0.991217165064849,"costly activation","XM_022486564.1","red","caltractin-like","LOC111136013","cvn:111136013"
"47","carbohydrate sulfotransferase 11-like","rna-XM_069285618.1",11.3924066393678,11.4480603409724,11.399691169865,11.3998536806009,1.00488515757613,0.99515277758309,"costly activation","XM_022440295.1","brown","carbohydrate sulfotransferase 11-like","LOC111105847","cvn:111105847"
"48","carbohydrate sulfotransferase 8-like","rna-XM_069254590.1",11.5608017093792,11.5854252486484,11.5592151957471,11.5461354094821,1.00212991623663,0.996745469420551,"costly activation","XM_022442786.1","brown","carbohydrate sulfotransferase 8-like","LOC111107540","cvn:111107540"
"49","carbohydrate sulfotransferase 9-like","rna-XM_069249919.1",11.4067658133432,11.7010038111581,11.4611754889135,11.5315873820413,1.02579504152445,0.980842637528076,"costly activation","XM_022478616.1","red","carbohydrate sulfotransferase 9-like","LOC111131197","cvn:111131197"
"50","carbonyl reductase [NADPH] 1-like","rna-XM_069272937.1",11.1946064986756,11.4768835906289,11.5622113626754,11.4619045489077,1.02521545460188,0.966942699791366,"costly activation","XM_022486944.1","brown","carbonyl reductase [NADPH] 1-like","LOC111136237","cvn:111136237"
"51","casein kinase I-like","rna-XM_069267083.1",12.2504808874877,12.3315962763775,12.2411302032235,12.2768222787022,1.00662140446852,0.996318720777423,"costly activation","XM_022460053.1","brown","casein kinase I-like","LOC111119650","cvn:111119650"
"52","caspase-8-like","rna-XM_069282608.1",11.297536926443,11.5881647607889,11.3911987218787,11.579319211765,1.02572488465744,0.991020655232579,"costly activation","XM_022465665.1","brown","caspase-8-like","LOC111123372","cvn:111123372"
"53","catalase-like","rna-XM_069245508.1",11.8686080000427,11.9406138193448,11.8819293789681,11.9422937781667,1.00606691360115,0.999019388986851,"costly activation","XM_022483137.1","brown","catalase-like","LOC111134248","cvn:111134248"
"54","catenin delta-2-like","rna-XM_069278072.1",12.1947808049799,12.2520062702013,12.2499217607841,12.2530326018983,1.00469261941945,0.995582060126335,"costly activation","XM_022455574.1","brown","catenin delta-2-like","LOC111116519","cvn:111116519"
"55","cathepsin L1-like","rna-XM_069275566.1",12.7395047921323,13.1720472999784,13.1838864092533,13.500205554208,1.03395285098626,0.990367074603857,"costly activation","XM_022450957.1","brown","cathepsin L1-like","LOC111113026","cvn:111113026"
"56","CCR4-NOT transcription complex subunit 11-like","rna-XM_069276313.1",11.6473485800529,11.7449526067694,11.666855487769,11.7034311868844,1.00837993523123,0.994798660839153,"costly activation","XM_022449333.1","brown","CCR4-NOT transcription complex subunit 11-like","LOC111112029","cvn:111112029"
"57","CD82 antigen-like","rna-XM_069269877.1",11.9162822820891,11.9736432462013,11.9704102647194,11.9753796663548,1.00481366274769,0.995622549284727,"costly activation","XM_022462210.1","brown","CD82 antigen-like","LOC111121085","cvn:111121085"
"58","cdc42 homolog","rna-XM_069261150.1",11.6059814715914,11.7471881352782,11.6463575379346,11.7245639934089,1.01216671455425,0.994613916385201,"costly activation","XM_022477837.1","brown","cdc42 homolog","LOC111130659","cvn:111130659"
"59","cell division control protein 42-like","rna-XM_069261102.1",11.8361397599812,11.8961015726666,11.888457851232,11.9017268018325,1.00506599397281,0.996070035625582,"costly activation","XM_022479284.1","brown","cell division control protein 42-like","LOC111131657","cvn:111131657"
"60","centrosomal protein of 55 kDa-like","rna-XM_069283843.1",12.2630237164051,12.3322059016115,12.372784277795,12.3406303434454,1.00564152747367,0.991805936531293,"costly activation","XM_022485072.1","brown","centrosomal protein of 55 kDa-like","LOC111135213","cvn:111135213"
"61","centrosomal protein of 83 kDa-like","rna-XM_069285113.1",11.3930221596184,11.449533560439,11.6180753201147,11.6506278414065,1.00496017650355,0.997852362048329,"costly activation","XM_022446077.1","red","centrosomal protein of 83 kDa-like","LOC111109832","cvn:111109832"
"62","ceramide glucosyltransferase-like","rna-XM_069279762.1",12.4768071405941,12.5253684403595,12.517662201643,12.5253989375016,1.00389212554288,0.99673863366116,"costly activation","XM_022484998.1","brown","ceramide glucosyltransferase-like","LOC111135173","cvn:111135173"
"63","chondroitin sulfate N-acetylgalactosaminyltransferase 1-like","rna-XM_069268805.1",11.3345558673904,11.5447759953329,11.2379313299436,11.4015823137265,1.01854683415936,0.996088095488986,"costly activation","XM_022462936.1","brown","chondroitin sulfate N-acetylgalactosaminyltransferase 1-like","LOC111121591","cvn:111121591"
"64","cilia- and flagella-associated protein 70-like","rna-XM_069260968.1",11.435522437513,11.6344191298176,11.6805472420392,11.6619141596917,1.01739288199481,0.981336506539241,"costly activation","XM_022475932.1","red","cilia- and flagella-associated protein 70-like","LOC111129512","cvn:111129512"
"65","cold shock domain-containing protein E1-like","rna-XM_069268889.1",13.0029745527409,13.1160996008731,13.0004365796806,13.1038766653552,1.0086999361318,0.999263136987611,"costly activation","XM_022435847.1","brown","cold shock domain-containing protein E1-like","LOC111102906","cvn:111102906"
"66","complement C1q-like protein 4","rna-XM_069281245.1",11.0699442854019,11.2857453890093,11.2916479564637,11.2278778511875,1.01949432608184,0.97533887948642,"costly activation","XM_022450483.1","brown","complement C1q-like protein 4","LOC111112735","cvn:111112735"
"67","core-binding factor subunit beta-like","rna-XM_069256539.1",11.4212913176822,11.6686848519951,11.5029775198647,11.6293210349195,1.02166073234906,0.989549188688048,"costly activation","XM_022487571.1","brown","core-binding factor subunit beta-like","LOC111136602","cvn:111136602"
"68","corticotropin-releasing factor-binding protein-like","rna-XM_069246589.1",11.5520756630163,11.7266531648926,11.6200048342605,11.7453659634767,1.01511221939406,0.995740539243098,"costly activation","XM_022453611.1","brown","corticotropin-releasing factor-binding protein-like","LOC111115042","cvn:111115042"
"69","CREB-regulated transcription coactivator 1-like","rna-XM_069282456.1",11.228404423809,11.5909504069562,11.3422018183546,11.4181175718721,1.03228829043407,0.975205493117659,"costly activation","XM_022473969.1","brown","CREB-regulated transcription coactivator 1-like","LOC111128383","cvn:111128383"
"70","CTD small phosphatase-like protein 2","rna-XM_069246754.1",12.3280061039919,12.4348010537408,12.3889192008034,12.4738307811622,1.00866279176438,0.998206577051566,"costly activation","XM_022452780.1","brown","CTD small phosphatase-like protein 2","LOC111114471","cvn:111114471"
"71","CUGBP Elav-like family member 2","rna-XM_069280452.1",12.2782735044722,12.5816132813599,12.5222678167919,12.4412637592587,1.02470540966344,0.969577392403501,"costly activation","XM_022481614.1","red","CUGBP Elav-like family member 2","LOC111133327","cvn:111133327"
"72","cyclin-dependent kinase-like 5","rna-XM_069273734.1",11.8186361458774,11.9209795884805,11.9353501594467,11.9559025165075,1.00865949686071,0.993122036374958,"costly activation","XM_022468930.1","brown","cyclin-dependent kinase-like 5","LOC111125306","cvn:111125306"
"73","cysteine and histidine-rich protein 1-like","rna-XM_069255919.1",12.3340447932798,12.6294745656281,12.32189926928,12.5689809654284,1.02395238360974,0.996191090058952,"costly activation","XM_022485085.1","brown","cysteine and histidine-rich protein 1-like","LOC111135221","cvn:111135221"
"74","cysteine sulfinic acid decarboxylase-like","rna-XM_069265494.1",11.4814879360909,11.6486421912108,11.5967244039984,11.6342202315355,1.01455858822919,0.988837237774455,"costly activation","XM_022485387.1","red","cysteine sulfinic acid decarboxylase-like","LOC111135375","cvn:111135375"
"75","cytochrome b5-like","rna-XM_069258083.1",11.4120647318374,11.5807453423046,11.5246489133848,11.6253027217683,1.01478090200423,0.99404096315867,"costly activation","XM_022478207.1","brown","cytochrome b5-like","LOC111130921","cvn:111130921"
"76","D-aspartate oxidase-like","rna-XM_069258308.1",11.1999756819672,11.2765724031993,11.2764228141881,11.3047613038751,1.00683900781637,0.9957034507344,"costly activation","XM_022486939.1","brown","D-aspartate oxidase-like","LOC111136234","cvn:111136234"
"77","DAZ-associated protein 1-like","rna-XM_069282686.1",11.595133152803,11.9942091719671,11.7868957291225,12.1487584046527,1.03441754518081,0.996406554606924,"costly activation","XM_022474513.1","brown","DAZ-associated protein 1-like","LOC111128721","cvn:111128721"
"78","DDB1- and CUL4-associated factor 13-like","rna-XM_069250603.1",11.782809049006,11.848224003627,11.7625826102613,11.7887588335728,1.00555172831444,0.996692017320674,"costly activation","XM_022488583.1","red","DDB1- and CUL4-associated factor 13-like","LOC111137217","cvn:111137217"
"79","deleted in malignant brain tumors 1 protein-like","rna-XM_069256266.1",11.4315333679572,11.7460174709911,11.5335761644441,11.7364861016973,1.02751022919773,0.990348268882929,"costly activation","XM_022470230.1","brown","deleted in malignant brain tumors 1 protein-like","LOC111125945","cvn:111125945"
"80","dihydroxyacetone phosphate acyltransferase-like","rna-XM_069260648.1",11.7142337860107,11.808196374492,11.6603226191595,11.662668724449,1.008021232135,0.992242199135569,"costly activation","XM_022478089.1","brown","dihydroxyacetone phosphate acyltransferase-like","LOC111130842","cvn:111130842"
"81","DNA-binding protein inhibitor ID-2-A-like","rna-XM_069269848.1",12.5097955593053,12.7016635285192,12.5451583232418,12.7299311483454,1.01533741844976,0.999400394390896,"costly activation","XM_022463025.1","brown","DNA-binding protein inhibitor ID-2-A-like","LOC111121660","cvn:111121660"
"82","DNA-binding protein RFX2-like","rna-XM_069271613.1",11.3138610120134,11.5990282928888,11.5445091829517,11.676001348175,1.02520512498542,0.986524543394447,"costly activation","XM_022459991.1","brown","DNA-binding protein RFX2-like","LOC111119625","cvn:111119625"
"83","DNA-directed RNA polymerase III subunit RPC9-like","rna-XM_069271702.1",11.6353997429858,11.7099497825909,11.6527446481355,11.7081930364626,1.00640717476424,0.998361719257252,"costly activation","XM_022469989.1","red","DNA-directed RNA polymerase III subunit RPC9-like","LOC111125826","cvn:111125826"
"84","DNA polymerase epsilon subunit 2-like","rna-XR_011207928.1",11.6882040356107,11.8837869436011,11.8897518363803,11.788328271394,1.01673335846932,0.975152095528122,"costly activation","XM_022478372.1","red","DNA polymerase epsilon subunit 2-like","LOC111131043","cvn:111131043"
"85","dnaJ homolog subfamily B member 4-like","rna-XM_069270546.1",11.9752836532936,12.0378865182045,11.9755089261982,11.9929805733824,1.00522767282374,0.996250874576702,"costly activation","XM_022463270.1","brown","dnaJ homolog subfamily B member 4-like","LOC111121832","cvn:111121832"
"86","dual specificity protein phosphatase 1-like","rna-XM_069283407.1",11.3137493492071,11.4176610995156,11.3525391421065,11.3495647325312,1.00918455474849,0.990639414160648,"costly activation","XM_022479954.1","brown","dual specificity protein phosphatase 1-like","LOC111132183","cvn:111132183"
"87","dual specificity protein phosphatase 10-like","rna-XM_069261723.1",11.8126443576641,11.9117429602647,11.8459241505464,11.8883662378009,1.00838919716874,0.995233631903342,"costly activation","XM_022476783.1","brown","dual specificity protein phosphatase 10-like","LOC111130086","cvn:111130086"
"88","E3 ubiquitin-protein ligase KCMF1-like","rna-XM_069284569.1",11.3429790030514,11.573158620026,11.3535766832225,11.5116671284006,1.02029269532392,0.993758252237404,"costly activation","XM_022486777.1","red","E3 ubiquitin-protein ligase KCMF1-like","LOC111136140","cvn:111136140"
"89","E3 ubiquitin-protein ligase MIB1-like","rna-XM_069271326.1",11.8159015960263,11.8688231817105,11.8368802862702,11.8650275600293,1.00447884448378,0.997908453314725,"costly activation","XM_022457643.1","brown","E3 ubiquitin-protein ligase MIB1-like","LOC111118271","cvn:111118271"
"90","E3 ubiquitin-protein ligase MIB2-like","rna-XM_069250011.1",11.275125166256,11.4059486543396,11.4349431885096,11.373307991336,1.01160284131259,0.983201988716891,"costly activation","XM_022481463.1","brown","E3 ubiquitin-protein ligase MIB2-like","LOC111133257","cvn:111133257"
"91","elongation factor 1-alpha","rna-XM_069250391.1",16.553851595473,16.7382635723575,16.5591750704217,16.6587897212685,1.01114012505313,0.994932010122943,"costly activation","XM_022472315.1","brown","elongation factor 1-alpha","LOC111127225","cvn:111127225"
"92","estrogen sulfotransferase-like","rna-XM_069247369.1",11.0699442854019,11.2641726027802,11.316416381395,11.4741508448943,1.01754555509682,0.996455192979603,"costly activation","XM_022476935.1","brown","estrogen sulfotransferase-like","LOC111130175","cvn:111130175"
"93","ETS domain-containing protein Elk-3-like","rna-XM_069285791.1",12.058039417549,12.1549903424085,12.081019219834,12.1512532110308,1.0080403556086,0.997790987251953,"costly activation","XM_022444047.1","brown","ETS domain-containing protein Elk-3-like","LOC111108274","cvn:111108274"
"94","ETV5-related protein Ets96B-like","rna-XM_069259146.1",11.3282410417028,11.6044134148401,11.4587345444318,11.6218911488203,1.02437910458655,0.990100851075575,"costly activation","XM_022464381.1","brown","ETV5-related protein Ets96B-like","LOC111122589","cvn:111122589"
"95","eukaryotic translation initiation factor 1-like","rna-XM_069251443.1",12.9545042077555,13.0967467714542,13.0729474567272,13.1739457480531,1.01098016268454,0.99678093073456,"costly activation","XM_022469767.1","brown","eukaryotic translation initiation factor 1-like","LOC111125711","cvn:111125711"
"96","eukaryotic translation initiation factor 6-like","rna-XM_069253907.1",11.5506154249516,11.6719636077708,11.5787584012066,11.6207980573819,1.01050577638981,0.99319645694454,"costly activation","XM_022482319.1","red","eukaryotic translation initiation factor 6-like","LOC111133705","cvn:111133705"
"97","excitatory amino acid transporter-like","rna-XM_069247386.1",11.4281605191696,11.6730475664444,11.5706740061188,11.604627998107,1.02142838708504,0.981894080525882,"costly activation","XM_022481287.1","brown","excitatory amino acid transporter-like","LOC111133164","cvn:111133164"
"98","exocyst complex component 7-like","rna-XM_069267582.1",11.6184842112004,11.6935249379254,11.6600761822248,11.668405613207,1.006458736386,0.994292481734994,"costly activation","XM_022457285.1","brown","exocyst complex component 7-like","LOC111118022","cvn:111118022"
"99","FERM domain-containing protein 5-like","rna-XM_069281494.1",11.8745826337466,12.1957279659014,11.9373251287396,12.2317928277808,1.02704476797712,0.997685636044023,"costly activation","XM_022474661.1","red","FERM domain-containing protein 5-like","LOC111128800","cvn:111128800"
"100","fermitin family homolog 2-like","rna-XM_069260654.1",11.5254655047691,11.6577162210971,11.5960283343456,11.6602623072707,1.01147465291301,0.994131988516929,"costly activation","XM_022477791.1","red","fermitin family homolog 2-like","LOC111130626","cvn:111130626"
"101","fibroblast growth factor receptor 2-like","rna-XM_069284195.1",12.0038870558929,12.0715997108909,12.0871299447053,12.1047477195974,1.00564089404397,0.99584013608706,"costly activation","XM_022433058.1","brown","fibroblast growth factor receptor 2-like","LOC111100896","cvn:111100896"
"102","filamin-C-like","rna-XM_069247333.1",12.2672076428303,12.5616612075779,12.6559059338051,12.5268825698997,1.02400330811386,0.966603600183062,"costly activation","XM_022489295.1","red","filamin-C-like","LOC111137702","cvn:111137702"
"103","follistatin-like","rna-XM_069281757.1",11.5754547267335,11.8035418536309,11.7555009865061,11.7452985493982,1.0197043772605,0.97982526708563,"costly activation","XM_022479356.1","brown","follistatin-like","LOC111131707","cvn:111131707"
"104","frizzled-4-like","rna-XM_069270716.1",11.7556409878813,11.9092393330538,11.7784551914285,11.8985162205222,1.01306592684575,0.997164397609465,"costly activation","XM_022436968.1","brown","frizzled-4-like","LOC111103593","cvn:111103593"
"105","frizzled-5-like","rna-XM_069246182.1",11.2176407415317,11.5024596425219,11.3421114533135,11.4398666757214,1.02539026766436,0.983643805693852,"costly activation","XM_022457004.1","red","frizzled-5-like","LOC111117761","cvn:111117761"
