"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","moduleColor","Cvirginica_ProteinID","Cvirginica_GeneID","Cvirginica_KEGGID"
"11","ADP-ribosylation factor-like protein 6","rna-XM_069244979.1",11.6936783688657,11.7823699963488,11.6801388702445,11.7399379859978,1.00758457900803,0.997553701571948,"frontloaded","XM_022440816.1","pink","ADP-ribosylation factor-like protein 6","LOC111106228","cvn:111106228"
"12","ADP-ribosylation factor-like","rna-XM_069262336.1",11.5066937047509,11.6829259005338,11.553497007615,11.5368346964322,1.01531562413189,0.98349497296654,"frontloaded","XM_022459790.1","pink","ADP-ribosylation factor-like","LOC111119545","cvn:111119545"
"13","ADP-ribosylation factor 4-like","rna-XM_069284489.1",11.7489726895129,11.8426890959795,11.7864529925336,11.7874503166005,1.00797656177636,0.992170506792287,"frontloaded","XM_022433687.1","pink","ADP-ribosylation factor 4-like","LOC111101253","cvn:111101253"
"14","advillin-like","rna-XM_069251637.1",12.3951162843299,12.4112307863265,12.4126278598266,12.4245190893095,1.00130006864211,0.999658370021472,"frontloaded","XM_022464576.1","pink","advillin-like","LOC111122703","cvn:111122703"
"15","alanine--tRNA ligase, cytoplasmic-like","rna-XM_069257671.1",11.2446210573083,11.7030806148429,11.5336009313885,11.4757468151032,1.04077145465357,0.956006104009839,"frontloaded","XM_022486044.1","magenta","alanine--tRNA ligase, cytoplasmic-like","LOC111135733","cvn:111135733"
"16","alpha-taxilin-like","rna-XM_069285593.1",11.8550799582759,11.9460619875191,11.8954791850685,11.9277775610505,1.00767451839746,0.995078432999494,"frontloaded","XM_022436737.1","magenta","alpha-taxilin-like","LOC111103452","cvn:111103452"
"17","aminomethyltransferase, mitochondrial-like","rna-XM_069286506.1",11.362541683219,11.5448178098165,11.5016120126405,11.4742038371141,1.01604184448156,0.981866071601686,"frontloaded","XM_022441052.1","pink","aminomethyltransferase, mitochondrial-like","LOC111106392","cvn:111106392"
"18","amyloid protein-binding protein 2-like","rna-XM_069271155.1",11.3738459249756,11.64366843967,11.6120854736366,11.6205202156,1.02372306750717,0.977536218451015,"frontloaded","XM_022460349.1","pink","amyloid protein-binding protein 2-like","LOC111119832","cvn:111119832"
"19","ankyrin repeat and EF-hand domain-containing protein 1-like","rna-XM_069260639.1",12.0030237617136,12.1000394547925,12.0544569284563,12.0238863646749,1.00808260443409,0.989466495472296,"frontloaded","XM_022477594.1","pink","ankyrin repeat and EF-hand domain-containing protein 1-like","LOC111130486","cvn:111130486"
"20","AP-1 complex subunit sigma-2","rna-XM_069247392.1",11.5521989172175,11.6775774368833,11.5186302689245,11.6324464120055,1.01085321682602,0.999038269434967,"frontloaded","XM_022483678.1","pink","AP-1 complex subunit sigma-2","LOC111134551","cvn:111134551"
"21","AP-4 complex subunit beta-1-like","rna-XM_069246309.1",11.2094135348769,11.2649368336418,11.4306304240722,11.2210845597605,1.00495327419157,0.976829535071682,"frontloaded","XM_022457919.1","pink","AP-4 complex subunit beta-1-like","LOC111118438","cvn:111118438"
"22","arachidonate 5-lipoxygenase-like","rna-XM_069274159.1",11.3960478290408,11.7428002347792,11.7286043201256,11.8035662110393,1.03042742632711,0.976673706263026,"frontloaded","XM_022468515.1","pink","arachidonate 5-lipoxygenase-like","LOC111125061","cvn:111125061"
"23","arfaptin-2-like","rna-XM_069273934.1",11.2670516991689,11.416172295638,11.6340700346703,11.0699442854019,1.0132351035968,0.93908203785089,"frontloaded","XM_022469485.1","pink","arfaptin-2-like","LOC111125555","cvn:111125555"
"24","arginyl-tRNA--protein transferase 1-like","rna-XM_069274455.1",11.6688825486552,11.7402703452291,11.7478430019234,11.7425595539149,1.00611779202303,0.993472404737247,"frontloaded","XM_022439947.1","pink","arginyl-tRNA--protein transferase 1-like","LOC111105590","cvn:111105590"
"25","armadillo repeat-containing protein 2-like","rna-XM_069277973.1",11.7542893683911,11.8227568362798,11.7926750881966,11.80123378577,1.00582489215152,0.994930401587889,"frontloaded","XM_022437717.1","pink","armadillo repeat-containing protein 2-like","LOC111104021","cvn:111104021"
"26","armadillo repeat-containing protein 3-like","rna-XM_069274643.1",11.7226238537946,12.1205617986359,11.8539726535855,11.8521520771874,1.0339461497532,0.967019816832567,"frontloaded","XM_022469821.1","pink","armadillo repeat-containing protein 3-like","LOC111125740","cvn:111125740"
"27","armadillo repeat-containing protein 4-like","rna-XM_069251667.1",11.8353126720943,12.6947714309945,12.3805358635757,12.4007700830124,1.07261817095265,0.933821917665464,"frontloaded","XM_022468144.1","pink","armadillo repeat-containing protein 4-like","LOC111124887","cvn:111124887"
"28","armadillo repeat-containing protein 8-like","rna-XM_069252179.1",11.2638505518892,11.4282756466445,11.4591789022405,11.2232516998839,1.01459759200442,0.965320159106101,"frontloaded","XM_022472436.1","pink","armadillo repeat-containing protein 8-like","LOC111127316","cvn:111127316"
"29","ATP-dependent DNA helicase Q5-like","rna-XM_069259657.1",11.2971018240356,11.2983406277233,11.2293543933933,11.2122895499555,1.00010965676923,0.998370858071093,"frontloaded","XM_022467147.1","pink","ATP-dependent DNA helicase Q5-like","LOC111124294","cvn:111124294"
"30","basal body-orientation factor 1-like","rna-XM_069260835.1",12.1315378494754,12.2720477264422,12.1841822830565,12.2104844315341,1.01158219829259,0.990684409379553,"frontloaded","XM_022476430.1","pink","basal body-orientation factor 1-like","LOC111129900","cvn:111129900"
"31","beta-mannosidase-like","rna-XM_069263467.1",11.2498588342047,11.3232771120002,11.3425076536775,11.237630641755,1.00652615102798,0.984329746346017,"frontloaded","XM_022466536.1","pink","beta-mannosidase-like","LOC111123884","cvn:111123884"
"32","bifunctional glutamate/proline--tRNA ligase-like","rna-XM_069262821.1",11.3521606408455,11.4762390511734,11.4680822173431,11.4635334777519,1.01092993785531,0.988795879049498,"frontloaded","XM_022476804.1","magenta","bifunctional glutamate/proline--tRNA ligase-like","LOC111130105","cvn:111130105"
"33","cactin-like","rna-XM_069282648.1",11.6547339949973,11.7582772082653,11.7203067807362,11.7286053550865,1.00888421934919,0.991895830817471,"frontloaded","XM_022472966.1","magenta","cactin-like","LOC111127735","cvn:111127735"
"34","calcium-binding mitochondrial carrier protein Aralar2-like","rna-XM_069264262.1",11.823725438226,11.9135929029325,11.802274129326,11.7997933067475,1.00760060483272,0.992248115486694,"frontloaded","XM_022480137.1","pink","calcium-binding mitochondrial carrier protein Aralar2-like","LOC111132332","cvn:111132332"
"35","calcyphosin-like protein","rna-XM_069248621.1",11.721890483621,11.8902191156329,11.8780377155433,11.9002928333593,1.01436019490603,0.987690211943871,"frontloaded","XM_022461755.1","pink","calcyphosin-like protein","LOC111120787","cvn:111120787"
"36","calmodulin-like protein 12","rna-XM_069258844.1",11.8881425824557,12.0195838081818,11.9738193981462,11.9057335435556,1.01105649808743,0.98344036651564,"frontloaded","XM_022476255.1","magenta","calmodulin-like protein 12","LOC111129799","cvn:111129799"
"37","calpain-9-like","rna-XM_069254005.1",11.5355983913578,11.5837325965881,11.5520115053745,11.5900104089796,1.004172666523,0.99912037933926,"frontloaded","XM_022453914.1","pink","calpain-9-like","LOC111115251","cvn:111115251"
"38","carbohydrate sulfotransferase 11-like","rna-XM_069285794.1",11.4928634387849,11.6272124586253,11.6177487716708,11.544002141266,1.0116897777961,0.982170884947239,"frontloaded","XM_022435351.1","pink","carbohydrate sulfotransferase 11-like","LOC111102559","cvn:111102559"
"39","carbonic anhydrase 1-like","rna-XM_069278700.1",11.7859373071504,11.8345607424403,11.8354159135394,11.8762117245734,1.00412554674462,0.999324168124274,"frontloaded","XM_022456657.1","magenta","carbonic anhydrase 1-like","LOC111117514","cvn:111117514"
"40","carboxypeptidase E-like","rna-XM_069268317.1",11.7400021230868,11.8027581976178,11.8059422527912,11.7049527648263,1.00534549090136,0.986174290809736,"frontloaded","XM_022461490.1","pink","carboxypeptidase E-like","LOC111120630","cvn:111120630"
"41","cat eye syndrome critical region protein 2-like","rna-XM_069277242.1",11.387219203357,11.5624763846886,11.3901290481391,11.4316403245448,1.01539069180998,0.988431845792151,"frontloaded","XM_022430920.1","magenta","cat eye syndrome critical region protein 2-like","LOC111099580","cvn:111099580"
"42","centrin-3","rna-XM_069245874.1",11.9341450831328,12.080358905276,11.9891771080628,11.9861409118275,1.01225172152045,0.987646386752508,"frontloaded","XM_022477754.1","pink","centrin-3","LOC111130588","cvn:111130588"
"43","centriolin-like","rna-XM_069253772.1",11.3334201332255,11.4601650950017,11.4048001340715,11.1890731893877,1.0111832933295,0.970234135487346,"frontloaded","XM_022470227.1","magenta","centriolin-like","LOC111125942","cvn:111125942"
"44","centriolin-like","rna-XM_069253772.1",11.3334201332255,11.4601650950017,11.4048001340715,11.1890731893877,1.0111832933295,0.970234135487346,"frontloaded","XM_022470227.1","magenta","centriolin-like","LOC111125942","cvn:111125942"
"45","centrosomal protein of 290 kDa-like","rna-XM_069274399.1",11.2254562665591,11.3976640007186,11.4092765119929,11.3066757129879,1.01534082268642,0.976034081791708,"frontloaded","XM_022471780.1","magenta","centrosomal protein of 290 kDa-like","LOC111126873","cvn:111126873"
"46","ceramide synthase 2-like","rna-XM_069255814.1",12.0342228721885,12.1485854361459,12.0444966779179,12.1012459559366,1.00950311168175,0.995253629101961,"frontloaded","XM_022453482.1","pink","ceramide synthase 2-like","LOC111114931","cvn:111114931"
"47","charged multivesicular body protein 2a-like","rna-XM_069268913.1",11.6903981278864,11.7391813603463,11.6954158649094,11.7188783234751,1.00417293165949,0.997842197056077,"frontloaded","XM_022435848.1","pink","charged multivesicular body protein 2a-like","LOC111102907","cvn:111102907"
"48","cilia- and flagella-associated protein 157-like","rna-XM_069263284.1",12.3428558265236,12.4412842246634,12.3594122137132,12.3960097285376,1.00797452384791,0.995026244285107,"frontloaded","XM_022469352.1","magenta","cilia- and flagella-associated protein 157-like","LOC111125471","cvn:111125471"
"49","cilia- and flagella-associated protein 157-like","rna-XM_069265295.1",11.3712915707805,11.6005709091766,11.5236052878017,11.5181474207238,1.02016299880879,0.979771248524463,"frontloaded","XM_022469352.1","pink","cilia- and flagella-associated protein 157-like","LOC111125471","cvn:111125471"
"50","cilia- and flagella-associated protein 161-like","rna-XM_069281645.1",12.2183071454953,12.3147517167665,12.2884714457358,12.333403925376,1.00789344793209,0.995796208743787,"frontloaded","XM_022477140.1","pink","cilia- and flagella-associated protein 161-like","LOC111130289","cvn:111130289"
"51","cilia- and flagella-associated protein 221-like","rna-XM_069255627.1",12.2857624296075,12.420736949867,12.3621978755175,12.3840435867861,1.01098625510894,0.990881065959354,"frontloaded","XM_022447309.1","pink","cilia- and flagella-associated protein 221-like","LOC111110718","cvn:111110718"
"52","cilia- and flagella-associated protein 251-like","rna-XM_069279906.1",11.9978660363685,12.1643823851921,12.0594189532588,12.0486733871354,1.01387883047859,0.985432300424101,"frontloaded","XM_022488490.1","pink","cilia- and flagella-associated protein 251-like","LOC111137169","cvn:111137169"
"53","cilia- and flagella-associated protein 44-like","rna-XM_069258902.1",12.0618826937974,12.2587603763545,12.1452415918888,12.2564859884972,1.01632230121574,0.992952239091928,"frontloaded","XM_022468386.1","magenta","cilia- and flagella-associated protein 44-like","LOC111125001","cvn:111125001"
"54","cilia- and flagella-associated protein 52-like","rna-XM_069268485.1",12.755164590345,12.9462311925984,12.8528379222326,12.8402187796433,1.01497954815871,0.984274199617107,"frontloaded","XM_022461783.1","pink","cilia- and flagella-associated protein 52-like","LOC111120808","cvn:111120808"
"55","cilia- and flagella-associated protein 53-like","rna-XM_069281844.1",12.4906786956225,12.7136490225413,12.4422959909606,12.5434624790779,1.01785093767539,0.990450385574272,"frontloaded","XM_022476694.1","pink","cilia- and flagella-associated protein 53-like","LOC111130047","cvn:111130047"
"56","cilia- and flagella-associated protein 57-like","rna-XM_069270766.1",12.1588833158721,12.3122950309625,12.2090690835892,12.2582326569826,1.01261725366589,0.991516591352774,"frontloaded","XM_022461444.1","pink","cilia- and flagella-associated protein 57-like","LOC111120600","cvn:111120600"
"57","cleavage stimulation factor subunit 3-like","rna-XM_069246675.1",11.8409854124866,12.0544503626396,11.9801947012723,11.9283244506924,1.01802763391026,0.978038611223174,"frontloaded","XM_022436708.1","pink","cleavage stimulation factor subunit 3-like","LOC111103429","cvn:111103429"
"58","cleft lip and palate transmembrane protein 1-like protein","rna-XM_069257048.1",11.3029814072725,11.5227554100298,11.3741966353926,11.368747468467,1.0194438966887,0.98045701364188,"frontloaded","XM_022484656.1","pink","cleft lip and palate transmembrane protein 1-like protein","LOC111135000","cvn:111135000"
"59","coiled-coil alpha-helical rod protein 1-like","rna-XM_069247845.1",11.3386704250991,11.5651396441844,11.3460498984462,11.3279634305801,1.019973172391,0.978855082512408,"frontloaded","XM_022435883.1","magenta","coiled-coil alpha-helical rod protein 1-like","LOC111102931","cvn:111102931"
"60","coiled-coil domain-containing protein 39-like","rna-XM_069249234.1",12.0293232633917,12.1628691610047,12.119336226619,12.1405122964448,1.01110169663654,0.990748309004721,"frontloaded","XM_022433528.1","pink","coiled-coil domain-containing protein 39-like","LOC111101168","cvn:111101168"
"61","coiled-coil domain-containing protein 40-like","rna-XM_069267667.1",12.06773053804,12.1985245600529,12.1242932213523,12.180251561508,1.01083832801873,0.993843784932904,"frontloaded","XM_022459291.1","magenta","coiled-coil domain-containing protein 40-like","LOC111119280","cvn:111119280"
"62","coiled-coil domain-containing protein 65-like","rna-XM_069279178.1",12.1404500413549,12.2853570590673,12.1878499383142,12.2951016027942,1.01193588517878,0.996900988173194,"frontloaded","XM_022490330.1","pink","coiled-coil domain-containing protein 65-like","LOC111138395","cvn:111138395"
"63","constitutive coactivator of PPAR-gamma-like protein 1 homolog","rna-XM_069285510.1",12.5625931012549,12.6728848248988,12.5493650897531,12.600953333219,1.00877937562372,0.995372079605529,"frontloaded","XM_022445993.1","pink","constitutive coactivator of PPAR-gamma-like protein 1 homolog","LOC111109766","cvn:111109766"
"64","cyclin-dependent kinase 11B-like","rna-XM_069258695.1",12.0897236652559,12.1478710802382,11.9936469282917,11.959577651525,1.00480965624958,0.99238635249709,"frontloaded","XM_022488260.1","magenta","cyclin-dependent kinase 11B-like","LOC111137032","cvn:111137032"
"65","cyclin-dependent kinase 7-like","rna-XM_069280572.1",11.7357014051775,11.7667857062325,11.7514822463141,11.7444891230692,1.0026486956324,0.996764789100554,"frontloaded","XM_022469166.1","pink","cyclin-dependent kinase 7-like","LOC111125401","cvn:111125401"
"66","cyclin-dependent kinases regulatory subunit 1-like","rna-XM_069259381.1",11.2887432433604,11.3441563444312,11.361776519157,11.3406110008699,1.00490870417337,0.993261502618432,"frontloaded","XM_022472114.1","magenta","cyclin-dependent kinases regulatory subunit 1-like","LOC111127096","cvn:111127096"
"67","cytoplasmic dynein 2 heavy chain 1-like","rna-XM_069275361.1",11.2211481686539,11.8197940368933,11.6144611867156,11.777009251889,1.05334978731604,0.962638744632565,"frontloaded","XM_022469212.1","pink","cytoplasmic dynein 2 heavy chain 1-like","LOC111125428","cvn:111125428"
"68","cytoplasmic dynein 2 light intermediate chain 1-like","rna-XM_069262861.1",11.6860940879778,11.7105344304207,11.7455185261019,11.7014160006563,1.00209140387361,0.994165958938514,"frontloaded","XM_022477450.1","pink","cytoplasmic dynein 2 light intermediate chain 1-like","LOC111130400","cvn:111130400"
"69","cytosolic endo-beta-N-acetylglucosaminidase-like","rna-XM_069268662.1",11.3336921222115,11.4973264593537,11.4556842983561,11.3212354276282,1.01443786679378,0.974198222871865,"frontloaded","XM_022460722.1","pink","cytosolic endo-beta-N-acetylglucosaminidase-like","LOC111120068","cvn:111120068"
"70","DBH-like monooxygenase protein 1","rna-XM_069282046.1",11.2006158023849,11.706809305747,11.6611929879691,11.4798059256338,1.04519336367687,0.941878578510848,"frontloaded","XM_022456701.1","magenta","DBH-like monooxygenase protein 1","LOC111117553","cvn:111117553"
"71","di-N-acetylchitobiase-like","rna-XM_069276171.1",11.4526630477249,11.4629619667739,11.531495912654,11.4653599152953,1.00089925976222,0.993371452287895,"frontloaded","XM_022489489.1","magenta","di-N-acetylchitobiase-like","LOC111137818","cvn:111137818"
"72","DNA fragmentation factor subunit beta-like","rna-XM_069254751.1",11.8158344401762,11.8974840638569,11.8213419700161,11.8571646741628,1.00691018684241,0.996146781203106,"frontloaded","XM_022489699.1","magenta","DNA fragmentation factor subunit beta-like","LOC111137968","cvn:111137968"
"73","DNA helicase INO80-like","rna-XM_069261363.1",11.5520050999696,11.6526937539187,11.5478572887863,11.4863195376867,1.00871611924318,0.986076308887837,"frontloaded","XM_022477205.1","magenta","DNA helicase INO80-like","LOC111130309","cvn:111130309"
"74","DNA methyltransferase 1-associated protein 1-like","rna-XM_069271351.1",11.2431831344811,11.3714554879051,11.3751726456189,11.4516376033113,1.01140890012105,0.995366060093885,"frontloaded","XM_022462371.1","magenta","DNA methyltransferase 1-associated protein 1-like","LOC111121210","cvn:111121210"
"75","DNA polymerase beta-like","rna-XM_069269380.1",11.5124862737897,11.6494047149987,11.630462858177,11.5374515466109,1.01189303838917,0.98034352189905,"frontloaded","XM_022461787.1","pink","DNA polymerase beta-like","LOC111120810","cvn:111120810"
"76","DNA polymerase delta subunit 3-like","rna-XM_069247825.1",11.547126087791,11.6241817015785,11.6326110596735,11.4880285375159,1.00667314214824,0.981024415910004,"frontloaded","XM_022485433.1","magenta","DNA polymerase delta subunit 3-like","LOC111135402","cvn:111135402"
"77","DNA repair protein RAD50-like","rna-XM_069274875.1",11.5695788967465,11.7134420808582,11.6444726087407,11.7467420286821,1.0124346085018,0.996392902296884,"frontloaded","XM_022472357.1","magenta","DNA repair protein RAD50-like","LOC111127260","cvn:111127260"
"78","DNA topoisomerase 2-beta-like","rna-XM_069252684.1",12.0994755068125,12.2368337815705,12.1724273836434,12.213900305804,1.01135241562171,0.992143890313434,"frontloaded","XM_022468623.1","magenta","DNA topoisomerase 2-beta-like","LOC111125129","cvn:111125129"
"79","DNA topoisomerase I, mitochondrial-like","rna-XM_069257412.1",11.8402204869227,11.9987594469249,11.8627814559025,11.8855728468187,1.01338986551621,0.988682920514396,"frontloaded","XM_022486031.1","magenta","DNA topoisomerase I, mitochondrial-like","LOC111135726","cvn:111135726"
"80","dnaJ homolog subfamily C member 27-like","rna-XM_069250969.1",11.4883527666963,11.6070658679267,11.5984724276855,11.4880119510931,1.0103333440086,0.980346038110851,"frontloaded","XM_022434096.1","pink","dnaJ homolog subfamily C member 27-like","LOC111101291","cvn:111101291"
"81","dual specificity tyrosine-phosphorylation-regulated kinase 2-like","rna-XM_069245011.1",12.183268308182,12.262791880799,12.2262984819448,12.1625476752017,1.00652727745999,0.98833462956349,"frontloaded","XM_022442109.1","pink","dual specificity tyrosine-phosphorylation-regulated kinase 2-like","LOC111107113","cvn:111107113"
"82","dynein assembly factor 1, axonemal-like","rna-XM_069277365.1",11.6916684632285,11.7374394871233,11.7028767815605,11.7068448804912,1.00391484107155,0.996438173298469,"frontloaded","XM_022449855.1","pink","dynein assembly factor 1, axonemal-like","LOC111112387","cvn:111112387"
"83","dynein assembly factor 3, axonemal-like","rna-XM_069276099.1",11.2637655454543,11.3533788787735,11.3913534107753,11.3458033070652,1.0079558947634,0.988139807674578,"frontloaded","XM_022467254.1","pink","dynein assembly factor 3, axonemal-like","LOC111124399","cvn:111124399"
"84","dynein assembly factor with WDR repeat domains 1-like","rna-XM_069247297.1",11.7567800729837,11.8336022698931,11.7543180707451,11.7753746955453,1.00653428884715,0.995287896245012,"frontloaded","XM_022432514.1","pink","dynein assembly factor with WDR repeat domains 1-like","LOC111100540","cvn:111100540"
"85","dynein gamma chain, flagellar outer arm-like","rna-XM_069245649.1",12.8192978216065,13.0356753273419,12.907489877615,12.828830051701,1.01687904507302,0.977408160985027,"frontloaded","XM_022433912.1","pink","dynein gamma chain, flagellar outer arm-like","LOC111101424","cvn:111101424"
"86","dynein heavy chain 5, axonemal-like","rna-XM_069244959.1",11.3656063543059,12.3985842660121,12.1822295076922,11.8260243043468,1.09088630025576,0.889882164090513,"frontloaded","XM_022436648.1","magenta","dynein heavy chain 5, axonemal-like","LOC111103394","cvn:111103394"
"87","dynein intermediate chain 2, ciliary-like","rna-XM_069282543.1",11.9427569845879,12.1432120928022,12.0319468287251,12.1818647179357,1.01678465939423,0.995746716534341,"frontloaded","XM_022475730.1","pink","dynein intermediate chain 2, ciliary-like","LOC111129376","cvn:111129376"
"88","dynein intermediate chain 3, ciliary-like","rna-XM_069267565.1",12.4239875597781,12.6006928216624,12.5115591221968,12.5044473651638,1.01422291040088,0.985416100167308,"frontloaded","XM_022463303.1","pink","dynein intermediate chain 3, ciliary-like","LOC111121849","cvn:111121849"
"89","dynein regulatory complex protein 1-like","rna-XM_069250540.1",12.1230252826882,12.3189717040681,12.174039127929,12.2671577517764,1.01616316198397,0.991621216251326,"frontloaded","XM_022475753.1","magenta","dynein regulatory complex protein 1-like","LOC111129389","cvn:111129389"
"90","E3 ubiquitin-protein ligase TRIM33-like","rna-XM_069277522.1",11.3116502630755,11.4112753095608,11.3496829282285,11.3992387020093,1.00880729550227,0.995597745895573,"frontloaded","XM_022438970.1","magenta","E3 ubiquitin-protein ligase TRIM33-like","LOC111104824","cvn:111104824"
"91","E3 ubiquitin-protein ligase TRIM56-like","rna-XM_069271807.1",11.4997270690312,11.6282606636138,11.5958097011257,11.6470692002334,1.01117709957906,0.993318103812777,"frontloaded","XM_022458279.1","pink","E3 ubiquitin-protein ligase TRIM56-like","LOC111118699","cvn:111118699"
"92","E3 ubiquitin-protein ligase TRIM71-like","rna-XM_069259529.1",11.4200748450152,11.5509386196999,11.4708649099164,11.4130409280146,1.01145909956464,0.983686890481987,"frontloaded","XM_022482941.1","pink","E3 ubiquitin-protein ligase TRIM71-like","LOC111134121","cvn:111134121"
"93","EF-hand calcium-binding domain-containing protein 5-like","rna-XM_069278903.1",11.8859193664604,12.0765461984462,11.928109049461,12.0395091458351,1.01603803846455,0.993406992687912,"frontloaded","XM_022486804.1","magenta","EF-hand calcium-binding domain-containing protein 5-like","LOC111136156","cvn:111136156"
"94","EF-hand calcium-binding domain-containing protein 6-like","rna-XM_069267420.1",12.3457611335825,12.4397633559326,12.3740467134045,12.3447402003761,1.00761412936254,0.990092918916972,"frontloaded","XM_022460244.1","pink","EF-hand calcium-binding domain-containing protein 6-like","LOC111119770","cvn:111119770"
"95","EF-hand domain-containing family member B-like","rna-XM_069251401.1",12.0645765692762,12.2095040804451,12.1191055615028,12.14189245971,1.01201264796462,0.989987870099486,"frontloaded","XM_022471750.1","pink","EF-hand domain-containing family member B-like","LOC111126847","cvn:111126847"
"96","EF-hand domain-containing family member C2-like","rna-XM_069249343.1",12.9896207301201,13.1935455450961,13.1331544523833,13.0910103918908,1.01569905844157,0.981384209615883,"frontloaded","XM_022484771.1","pink","EF-hand domain-containing family member C2-like","LOC111135064","cvn:111135064"
"97","EF-hand domain-containing family member C2-like","rna-XM_069250670.1",12.6941460335704,12.8979133932904,12.7927463071913,12.8288478808323,1.01605207307219,0.986978976029006,"frontloaded","XM_022484771.1","pink","EF-hand domain-containing family member C2-like","LOC111135064","cvn:111135064"
"98","erlin-2-B-like","rna-XM_069268008.1",12.0018719996728,12.1069645219381,12.0130948295534,12.0717012232108,1.00875634419932,0.996155858921033,"frontloaded","XM_022457188.1","magenta","erlin-2-B-like","LOC111117947","cvn:111117947"
"99","ESF1 homolog","rna-XM_069259960.1",11.2404413037977,11.41794574536,11.3211576670872,11.4430922389784,1.01579159009552,0.995056971995763,"frontloaded","XM_022479328.1","magenta","ESF1 homolog","LOC111131690","cvn:111131690"
"100","eukaryotic translation initiation factor 3 subunit A-like","rna-XM_069283862.1",11.1797358040335,11.3519132597125,11.3149426142432,11.3302366640102,1.01540085192504,0.986163904085233,"frontloaded","XM_022483067.1","magenta","eukaryotic translation initiation factor 3 subunit A-like","LOC111134216","cvn:111134216"
"101","FK506-binding protein 3-like","rna-XM_069247945.1",11.3039507620643,11.3168417143045,11.3654881424269,11.3452989803073,1.0011403935236,0.997086572133084,"frontloaded","XM_022482877.1","pink","FK506-binding protein 3-like","LOC111134076","cvn:111134076"
"102","G-protein coupled receptor 157-like","rna-XM_069266562.1",11.526740768827,11.6891171688932,11.6838212556574,11.4981112850422,1.01408693084391,0.970434924205331,"frontloaded","XM_022430402.1","pink","G-protein coupled receptor 157-like","LOC111099058","cvn:111099058"
"103","G patch domain-containing protein 11-like","rna-XM_069260445.1",11.4082081049814,11.5226109365364,11.4354152967796,11.4864396867339,1.01002811576561,0.994489110201698,"frontloaded","XM_022457342.1","pink","G patch domain-containing protein 11-like","LOC111118051","cvn:111118051"
