"","Cvirginica_TranscriptID","moduleColor","Airradians_TranscriptID","Protein_name","Cvirginica_ProteinID","Cvirginica_GeneID","Cvirginica_KEGGID"
"16","XM_022432152.1","brown","rna-XM_069250077.1","tRNA (guanine(10)-N2)-methyltransferase homolog","tRNA (guanine(10)-N2)-methyltransferase homolog","LOC111100372","cvn:111100372"
"17","XM_022432160.1","brown","rna-XM_069245877.1","BTB/POZ domain-containing protein 1-like","BTB/POZ domain-containing protein 1-like","LOC111100375","cvn:111100375"
"18","XM_022432394.1","brown","rna-XM_069272857.1",NA,NA,NA,NA
"19","XM_022432399.1","brown","rna-XM_069284470.1","hexokinase-2-like","hexokinase-2-like","LOC111100475","cvn:111100475"
"20","XM_022432481.1","brown","rna-XM_069263919.1","uncharacterized","uncharacterized","LOC111100520","cvn:111100520"
"21","XM_022432667.1","brown","rna-XM_069249350.1","mediator of RNA polymerase II transcription subunit 4-like","mediator of RNA polymerase II transcription subunit 4-like","LOC111100610","cvn:111100610"
"22","XM_022432720.1","brown","rna-XM_069248273.1","selenium-binding protein 1-like","selenium-binding protein 1-like","LOC111100638","cvn:111100638"
"23","XM_022432832.1","brown","rna-XM_069250175.1",NA,NA,NA,NA
"24","XM_022432864.1","brown","rna-XM_069264374.1","zinc transporter ZIP10-like","zinc transporter ZIP10-like","LOC111100769","cvn:111100769"
"25","XM_022432910.1","brown","rna-XM_069283440.1",NA,NA,NA,NA
"26","XM_022432922.1","brown","rna-XM_069249319.1",NA,NA,NA,NA
"27","XM_022433058.1","brown","rna-XM_069284195.1","fibroblast growth factor receptor 2-like","fibroblast growth factor receptor 2-like","LOC111100896","cvn:111100896"
"28","XM_022433310.1","brown","rna-XM_069280147.1","GPN-loop GTPase 1-like","GPN-loop GTPase 1-like","LOC111101051","cvn:111101051"
"29","XM_022433344.1","brown","rna-XM_069284560.1","uncharacterized","uncharacterized","LOC111101067","cvn:111101067"
"30","XM_022433377.1","brown","rna-XM_069262387.1","peptidoglycan-recognition protein SC2-like","peptidoglycan-recognition protein SC2-like","LOC111101087","cvn:111101087"
"31","XM_022433377.1","brown","rna-XM_069262379.1","peptidoglycan-recognition protein SC2-like","peptidoglycan-recognition protein SC2-like","LOC111101087","cvn:111101087"
"32","XM_022433491.1","brown","rna-XM_069279332.1","zinc finger protein 593-like","zinc finger protein 593-like","LOC111101149","cvn:111101149"
"33","XM_022433612.1","brown","rna-XM_069283635.1","Kv channel-interacting protein 4-like","Kv channel-interacting protein 4-like","LOC111101212","cvn:111101212"
"34","XM_022433842.1","brown","rna-XM_069279306.1","5-hydroxytryptamine receptor 4-like","5-hydroxytryptamine receptor 4-like","LOC111101373","cvn:111101373"
"35","XM_022433973.1","brown","rna-XM_069274320.1","nucleoporin p58/p45-like","nucleoporin p58/p45-like","LOC111101470","cvn:111101470"
"36","XM_022434152.1","brown","rna-XM_069283041.1",NA,NA,NA,NA
"37","XM_022434357.1","brown","rna-XM_069264270.1","uncharacterized","uncharacterized","LOC111101751","cvn:111101751"
"38","XM_022434425.1","brown","rna-XM_069283336.1","8-oxo-dGDP phosphatase NUDT18-like","8-oxo-dGDP phosphatase NUDT18-like","LOC111101814","cvn:111101814"
"39","XM_022434449.1","brown","rna-XM_069276097.1","neuronal acetylcholine receptor subunit alpha-10-like","neuronal acetylcholine receptor subunit alpha-10-like","LOC111101827","cvn:111101827"
"40","XM_022434498.1","brown","rna-XM_069253774.1",NA,NA,NA,NA
"41","XM_022434498.1","brown","rna-XM_069275212.1",NA,NA,NA,NA
"42","XM_022434502.1","brown","rna-XM_069283616.1","polyadenylate-binding protein-interacting protein 2-like","polyadenylate-binding protein-interacting protein 2-like","LOC111101867","cvn:111101867"
"43","XM_022434539.1","brown","rna-XM_069284542.1",NA,NA,NA,NA
"44","XM_022434689.1","brown","rna-XM_069257700.1","uncharacterized","uncharacterized","LOC111102033","cvn:111102033"
"45","XM_022434735.1","brown","rna-XM_069264233.1","uncharacterized","uncharacterized","LOC111102081","cvn:111102081"
"46","XM_022434982.1","brown","rna-XM_069264074.1",NA,NA,NA,NA
"47","XM_022435300.1","brown","rna-XM_069275839.1",NA,NA,NA,NA
"48","XM_022435352.1","brown","rna-XM_069262008.1",NA,NA,NA,NA
"49","XM_022435352.1","brown","rna-XM_069256206.1",NA,NA,NA,NA
"50","XM_022435352.1","brown","rna-XM_069262022.1",NA,NA,NA,NA
"51","XM_022435352.1","brown","rna-XM_069265434.1",NA,NA,NA,NA
"52","XM_022435621.1","brown","rna-XM_069264845.1",NA,NA,NA,NA
"53","XM_022435626.1","brown","rna-XM_069249876.1","uncharacterized","uncharacterized","LOC111102758","cvn:111102758"
"54","XM_022435637.1","brown","rna-XM_069248313.1",NA,NA,NA,NA
"55","XM_022435684.1","brown","rna-XM_069281249.1","uncharacterized","uncharacterized","LOC111102810","cvn:111102810"
"56","XM_022435775.1","brown","rna-XM_069279461.1",NA,NA,NA,NA
"57","XM_022435775.1","brown","rna-XM_069275216.1",NA,NA,NA,NA
"58","XM_022435847.1","brown","rna-XM_069268889.1","cold shock domain-containing protein E1-like","cold shock domain-containing protein E1-like","LOC111102906","cvn:111102906"
"59","XM_022435903.1","brown","rna-XM_069282595.1","sialate O-acetylesterase-like","sialate O-acetylesterase-like","LOC111102947","cvn:111102947"
"60","XM_022436137.1","brown","rna-XM_069278517.1","uncharacterized","uncharacterized","LOC111103107","cvn:111103107"
"61","XM_022436215.1","brown","rna-XM_069283467.1","glycoprotein 3-alpha-L-fucosyltransferase A-like","glycoprotein 3-alpha-L-fucosyltransferase A-like","LOC111103157","cvn:111103157"
"62","XM_022436267.1","brown","rna-XM_069277539.1",NA,NA,NA,NA
"63","XM_022436312.1","brown","rna-XM_069273075.1","uncharacterized","uncharacterized","LOC111103225","cvn:111103225"
"64","XM_022436400.1","brown","rna-XM_069245131.1",NA,NA,NA,NA
"65","XM_022436472.1","brown","rna-XM_069271343.1","sestrin-1-like","sestrin-1-like","LOC111103304","cvn:111103304"
"66","XM_022436493.1","brown","rna-XM_069269786.1","serine/threonine-protein kinase LATS1-like","serine/threonine-protein kinase LATS1-like","LOC111103314","cvn:111103314"
"67","XM_022436582.1","brown","rna-XM_069272807.1","prickle-like protein 3","prickle-like protein 3","LOC111103366","cvn:111103366"
"68","XM_022436591.1","brown","rna-XM_069270764.1","synaptotagmin-1-like","synaptotagmin-1-like","LOC111103370","cvn:111103370"
"69","XM_022436708.1","brown","rna-XM_069254098.1","cleavage stimulation factor subunit 3-like","cleavage stimulation factor subunit 3-like","LOC111103429","cvn:111103429"
"70","XM_022436708.1","brown","rna-XM_069246652.1","cleavage stimulation factor subunit 3-like","cleavage stimulation factor subunit 3-like","LOC111103429","cvn:111103429"
"71","XM_022436821.1","brown","rna-XM_069268674.1",NA,NA,NA,NA
"72","XM_022436854.1","brown","rna-XM_069256149.1","ubiquinone biosynthesis protein COQ9, mitochondrial-like","ubiquinone biosynthesis protein COQ9, mitochondrial-like","LOC111103518","cvn:111103518"
"73","XM_022436875.1","brown","rna-XM_069261770.1",NA,NA,NA,NA
"74","XM_022436968.1","brown","rna-XM_069270716.1","frizzled-4-like","frizzled-4-like","LOC111103593","cvn:111103593"
"75","XM_022437001.1","brown","rna-XM_069245254.1","G1/S-specific cyclin-D2-like","G1/S-specific cyclin-D2-like","LOC111103611","cvn:111103611"
"76","XM_022437262.1","brown","rna-XM_069270006.1",NA,NA,NA,NA
"77","XM_022437305.1","brown","rna-XM_069285607.1",NA,NA,NA,NA
"78","XM_022437309.1","brown","rna-XM_069271063.1","importin subunit alpha-7-like","importin subunit alpha-7-like","LOC111103812","cvn:111103812"
"79","XM_022437329.1","brown","rna-XM_069286346.1","afadin-like","afadin-like","LOC111103819","cvn:111103819"
"80","XM_022437425.1","brown","rna-XM_069281493.1","titin homolog","titin homolog","LOC111103866","cvn:111103866"
"81","XM_022437548.1","brown","rna-XM_069244757.1","membrane-bound transcription factor site-2 protease-like","membrane-bound transcription factor site-2 protease-like","LOC111103927","cvn:111103927"
"82","XM_022437582.1","brown","rna-XM_069276306.1","uncharacterized","uncharacterized","LOC111103941","cvn:111103941"
"83","XM_022437591.1","brown","rna-XM_069245978.1",NA,NA,NA,NA
"84","XM_022437729.1","brown","rna-XM_069272542.1","WASH complex subunit 3-like","WASH complex subunit 3-like","LOC111104028","cvn:111104028"
"85","XM_022437805.1","brown","rna-XM_069281787.1","interleukin-1 receptor-associated kinase 1-binding protein 1-like","interleukin-1 receptor-associated kinase 1-binding protein 1-like","LOC111104074","cvn:111104074"
"86","XM_022437927.1","brown","rna-XM_069271528.1","malonyl-CoA decarboxylase, mitochondrial-like","malonyl-CoA decarboxylase, mitochondrial-like","LOC111104136","cvn:111104136"
"87","XM_022437972.1","brown","rna-XM_069246299.1","PRKC apoptosis WT1 regulator protein-like","PRKC apoptosis WT1 regulator protein-like","LOC111104168","cvn:111104168"
"88","XM_022438133.1","brown","rna-XM_069277844.1","cystatin-B-like","cystatin-B-like","LOC111104275","cvn:111104275"
"89","XM_022438215.1","brown","rna-XM_069278669.1",NA,NA,NA,NA
"90","XM_022438457.1","brown","rna-XM_069274663.1","low density lipoprotein receptor adapter protein 1-B-like","low density lipoprotein receptor adapter protein 1-B-like","LOC111104479","cvn:111104479"
"91","XM_022438596.1","brown","rna-XM_069245984.1","calcipressin-1-like","calcipressin-1-like","LOC111104574","cvn:111104574"
"92","XM_022438609.1","brown","rna-XM_069248461.1",NA,NA,NA,NA
"93","XM_022438768.1","brown","rna-XM_069269504.1","spondin-1-like","spondin-1-like","LOC111104689","cvn:111104689"
"94","XM_022438878.1","brown","rna-XM_069275546.1",NA,NA,NA,NA
"95","XM_022439207.1","brown","rna-XM_069248423.1","uncharacterized","uncharacterized","LOC111105030","cvn:111105030"
"96","XM_022439389.1","brown","rna-XM_069251645.1","uncharacterized","uncharacterized","LOC111105224","cvn:111105224"
"97","XM_022439479.1","brown","rna-XM_069250655.1","alpha-(1,3)-fucosyltransferase 9-like","alpha-(1,3)-fucosyltransferase 9-like","LOC111105280","cvn:111105280"
"98","XM_022439624.1","brown","rna-XM_069270692.1",NA,NA,NA,NA
"99","XM_022439714.1","brown","rna-XM_069278751.1","integrase/recombinase xerD homolog","integrase/recombinase xerD homolog","LOC111105423","cvn:111105423"
"100","XM_022439739.1","brown","rna-XM_069276606.1",NA,NA,NA,NA
"101","XM_022439861.1","brown","rna-XM_069249961.1","E3 ubiquitin-protein ligase arih1-like","E3 ubiquitin-protein ligase arih1-like","LOC111105516","cvn:111105516"
"102","XM_022439872.1","brown","rna-XM_069273691.1","heterogeneous nuclear ribonucleoprotein R-like","heterogeneous nuclear ribonucleoprotein R-like","LOC111105526","cvn:111105526"
"103","XM_022439872.1","brown","rna-XM_069273709.1","heterogeneous nuclear ribonucleoprotein R-like","heterogeneous nuclear ribonucleoprotein R-like","LOC111105526","cvn:111105526"
"104","XM_022439941.1","brown","rna-XM_069272940.1","chromatin modification-related protein MEAF6-like","chromatin modification-related protein MEAF6-like","LOC111105580","cvn:111105580"
"105","XM_022440100.1","brown","rna-XM_069245472.1",NA,NA,NA,NA
"106","XM_022440214.1","brown","rna-XM_069265852.1","arylsulfatase J-like","arylsulfatase J-like","LOC111105811","cvn:111105811"
"107","XM_022440295.1","brown","rna-XM_069285618.1","carbohydrate sulfotransferase 11-like","carbohydrate sulfotransferase 11-like","LOC111105847","cvn:111105847"
"108","XM_022440399.1","brown","rna-XM_069248211.1",NA,NA,NA,NA
"109","XM_022440419.1","brown","rna-XM_069286260.1","WASH complex subunit 1-like","WASH complex subunit 1-like","LOC111105923","cvn:111105923"
"110","XM_022440464.1","brown","rna-XM_069245694.1",NA,NA,NA,NA
"111","XM_022440546.1","brown","rna-XM_069267002.1",NA,NA,NA,NA
"112","XM_022440720.1","brown","rna-XM_069250300.1",NA,NA,NA,NA
"113","XM_022441029.1","brown","rna-XM_069245113.1","ankyrin repeat and protein kinase domain-containing protein 1-like","ankyrin repeat and protein kinase domain-containing protein 1-like","LOC111106377","cvn:111106377"
"114","XM_022441162.1","brown","rna-XM_069286532.1","V-type proton ATPase subunit S1-like","V-type proton ATPase subunit S1-like","LOC111106467","cvn:111106467"
"115","XM_022441220.1","brown","rna-XM_069285358.1",NA,NA,NA,NA
"116","XM_022441250.1","brown","rna-XM_069245294.1",NA,NA,NA,NA
"117","XM_022441401.1","brown","rna-XM_069286405.1",NA,NA,NA,NA
"118","XM_022441907.1","brown","rna-XM_069276414.1",NA,NA,NA,NA
"119","XM_022442514.1","brown","rna-XM_069284677.1","interleukin-17 receptor D-like","interleukin-17 receptor D-like","LOC111107347","cvn:111107347"
"120","XM_022442574.1","brown","rna-XM_069260834.1","xanthine dehydrogenase/oxidase-like","xanthine dehydrogenase/oxidase-like","LOC111107393","cvn:111107393"
"121","XM_022442598.1","brown","rna-XM_069285198.1",NA,NA,NA,NA
"122","XM_022442786.1","brown","rna-XM_069254590.1","carbohydrate sulfotransferase 8-like","carbohydrate sulfotransferase 8-like","LOC111107540","cvn:111107540"
"123","XM_022443146.1","brown","rna-XM_069285492.1","transcription cofactor vestigial-like protein 4","transcription cofactor vestigial-like protein 4","LOC111107792","cvn:111107792"
"124","XM_022443320.1","brown","rna-XM_069246726.1","BTB/POZ domain-containing protein 6-like","BTB/POZ domain-containing protein 6-like","LOC111107911","cvn:111107911"
"125","XM_022443471.1","brown","rna-XM_069244984.1","serine/threonine-protein kinase pim-3-like","serine/threonine-protein kinase pim-3-like","LOC111107995","cvn:111107995"
"126","XM_022443482.1","brown","rna-XM_069285518.1",NA,NA,NA,NA
"127","XM_022443512.1","brown","rna-XM_069245301.1",NA,NA,NA,NA
"128","XM_022443552.1","brown","rna-XM_069260951.1",NA,NA,NA,NA
"129","XM_022443746.1","brown","rna-XR_011210337.1","gelsolin-like protein 2","gelsolin-like protein 2","LOC111108138","cvn:111108138"
"130","XM_022443787.1","brown","rna-XM_069285751.1","sodium-dependent proline transporter-like","sodium-dependent proline transporter-like","LOC111108163","cvn:111108163"
"131","XM_022443830.1","brown","rna-XM_069271849.1","ubiquitin carboxyl-terminal hydrolase 15-like","ubiquitin carboxyl-terminal hydrolase 15-like","LOC111108183","cvn:111108183"
"132","XM_022443854.1","brown","rna-XM_069285683.1",NA,NA,NA,NA
"133","XM_022444047.1","brown","rna-XM_069285791.1","ETS domain-containing protein Elk-3-like","ETS domain-containing protein Elk-3-like","LOC111108274","cvn:111108274"
"134","XM_022444172.1","brown","rna-XM_069286341.1","serine/threonine-protein phosphatase 4 regulatory subunit 2-A-like","serine/threonine-protein phosphatase 4 regulatory subunit 2-A-like","LOC111108356","cvn:111108356"
"135","XM_022444280.1","brown","rna-XM_069245580.1",NA,NA,NA,NA
"136","XM_022444338.1","brown","rna-XM_069285441.1","protein transport protein Sec61 subunit alpha","protein transport protein Sec61 subunit alpha","LOC111108442","cvn:111108442"
"137","XM_022444731.1","brown","rna-XM_069285519.1","myotubularin-related protein 14-like","myotubularin-related protein 14-like","LOC111108697","cvn:111108697"
"138","XM_022444763.1","brown","rna-XM_069279097.1",NA,NA,NA,NA
"139","XM_022444779.1","brown","rna-XM_069245142.1","NACHT, LRR and PYD domains-containing protein 14-like","NACHT, LRR and PYD domains-containing protein 14-like","LOC111108728","cvn:111108728"
"140","XM_022444849.1","brown","rna-XM_069285366.1",NA,NA,NA,NA
"141","XM_022445207.1","brown","rna-XM_069259266.1","uncharacterized","uncharacterized","LOC111109118","cvn:111109118"
"142","XM_022445519.1","brown","rna-XM_069250637.1",NA,NA,NA,NA
"143","XM_022446157.1","brown","rna-XM_069279086.1",NA,NA,NA,NA
"144","XM_022446157.1","brown","rna-XM_069259329.1",NA,NA,NA,NA
"145","XM_022446307.1","brown","rna-XM_069285767.1","EF-hand calcium-binding domain-containing protein 12-like","EF-hand calcium-binding domain-containing protein 12-like","LOC111110006","cvn:111110006"
"146","XM_022446555.1","brown","rna-XM_069276424.1",NA,NA,NA,NA
"147","XM_022446630.1","brown","rna-XM_069276146.1","SAM pointed domain-containing Ets transcription factor-like","SAM pointed domain-containing Ets transcription factor-like","LOC111110225","cvn:111110225"
"148","XM_022446714.1","brown","rna-XM_069252999.1",NA,NA,NA,NA
"149","XM_022446714.1","brown","rna-XM_069285863.1",NA,NA,NA,NA
"150","XM_022446715.1","brown","rna-XM_069244988.1","uncharacterized","uncharacterized","LOC111110289","cvn:111110289"
"151","XM_022447098.1","brown","rna-XM_069257019.1",NA,NA,NA,NA
"152","XM_022447254.1","brown","rna-XM_069277984.1","branched-chain-amino-acid aminotransferase, cytosolic-like","branched-chain-amino-acid aminotransferase, cytosolic-like","LOC111110658","cvn:111110658"
"153","XM_022447428.1","brown","rna-XM_069276984.1","paired box protein Pax-6-like","paired box protein Pax-6-like","LOC111110798","cvn:111110798"
"154","XM_022447598.1","brown","rna-XM_069271284.1","receptor-type tyrosine-protein phosphatase mu-like","receptor-type tyrosine-protein phosphatase mu-like","LOC111110932","cvn:111110932"
"155","XM_022447661.1","brown","rna-XM_069255773.1",NA,NA,NA,NA
"156","XM_022447988.1","brown","rna-XM_069261370.1","zinc finger FYVE domain-containing protein 1-like","zinc finger FYVE domain-containing protein 1-like","LOC111111169","cvn:111111169"
"157","XM_022448101.1","brown","rna-XM_069255193.1",NA,NA,NA,NA
"158","XM_022448167.1","brown","rna-XM_069264456.1","uncharacterized","uncharacterized","LOC111111262","cvn:111111262"
"159","XM_022448296.1","brown","rna-XM_069254740.1","corepressor interacting with RBPJ 1-like","corepressor interacting with RBPJ 1-like","LOC111111360","cvn:111111360"
"160","XM_022448367.1","brown","rna-XM_069276007.1","pyridoxal 5'-phosphate synthase subunit PdxT-like","pyridoxal 5'-phosphate synthase subunit PdxT-like","LOC111111394","cvn:111111394"
"161","XM_022448605.1","brown","rna-XM_069254353.1",NA,NA,NA,NA
"162","XM_022449206.1","brown","rna-XM_069274558.1",NA,NA,NA,NA
"163","XM_022449333.1","brown","rna-XM_069276313.1","CCR4-NOT transcription complex subunit 11-like","CCR4-NOT transcription complex subunit 11-like","LOC111112029","cvn:111112029"
"164","XM_022449450.1","brown","rna-XM_069254886.1",NA,NA,NA,NA
"165","XM_022449488.1","brown","rna-XM_069246150.1",NA,NA,NA,NA
"166","XM_022450476.1","brown","rna-XM_069280899.1","heterogeneous nuclear ribonucleoprotein K-like","heterogeneous nuclear ribonucleoprotein K-like","LOC111112733","cvn:111112733"
"167","XM_022450483.1","brown","rna-XM_069281245.1","complement C1q-like protein 4","complement C1q-like protein 4","LOC111112735","cvn:111112735"
"168","XM_022450524.1","brown","rna-XM_069276735.1","alcohol dehydrogenase-like","alcohol dehydrogenase-like","LOC111112758","cvn:111112758"
"169","XM_022450524.1","brown","rna-XM_069276734.1","alcohol dehydrogenase-like","alcohol dehydrogenase-like","LOC111112758","cvn:111112758"
"170","XM_022450957.1","brown","rna-XM_069275566.1","cathepsin L1-like","cathepsin L1-like","LOC111113026","cvn:111113026"
"171","XM_022450973.1","brown","rna-XM_069245651.1","ras-related protein Rab-8A-like","ras-related protein Rab-8A-like","LOC111113034","cvn:111113034"
"172","XM_022451166.1","brown","rna-XM_069255323.1","uncharacterized","uncharacterized","LOC111113157","cvn:111113157"
"173","XM_022451215.1","brown","rna-XM_069247214.1","phosphatidylinositol 4-phosphate 5-kinase type-1 alpha-like","phosphatidylinositol 4-phosphate 5-kinase type-1 alpha-like","LOC111113173","cvn:111113173"
"174","XM_022451302.1","brown","rna-XM_069256955.1",NA,NA,NA,NA
"175","XM_022451346.1","brown","rna-XM_069255216.1",NA,NA,NA,NA
"176","XM_022451379.1","brown","rna-XM_069254769.1","biogenesis of lysosome-related organelles complex 1 subunit 1-like","biogenesis of lysosome-related organelles complex 1 subunit 1-like","LOC111113266","cvn:111113266"
"177","XM_022451828.1","brown","rna-XM_069246817.1","uncharacterized","uncharacterized","LOC111113537","cvn:111113537"
"178","XM_022451961.1","brown","rna-XM_069249393.1","uncharacterized","uncharacterized","LOC111113666","cvn:111113666"
"179","XM_022452754.1","brown","rna-XM_069276540.1",NA,NA,NA,NA
"180","XM_022452756.1","brown","rna-XM_069245744.1","AP-4 complex subunit epsilon-1-like","AP-4 complex subunit epsilon-1-like","LOC111114456","cvn:111114456"
"181","XM_022452759.1","brown","rna-XM_069270905.1","receptor-type tyrosine-protein phosphatase T-like","receptor-type tyrosine-protein phosphatase T-like","LOC111114457","cvn:111114457"
"182","XM_022452780.1","brown","rna-XM_069246754.1","CTD small phosphatase-like protein 2","CTD small phosphatase-like protein 2","LOC111114471","cvn:111114471"
"183","XM_022452876.1","brown","rna-XM_069263881.1","uncharacterized","uncharacterized","LOC111114534","cvn:111114534"
"184","XM_022452959.1","brown","rna-XM_069255157.1",NA,NA,NA,NA
"185","XM_022453020.1","brown","rna-XM_069265844.1","rho-related protein racA-like","rho-related protein racA-like","LOC111114627","cvn:111114627"
"186","XM_022453077.1","brown","rna-XM_069254415.1","uracil-DNA glycosylase-like","uracil-DNA glycosylase-like","LOC111114668","cvn:111114668"
"187","XM_022453261.1","brown","rna-XM_069246269.1","galactoside 2-alpha-L-fucosyltransferase 1-like","galactoside 2-alpha-L-fucosyltransferase 1-like","LOC111114790","cvn:111114790"
"188","XM_022453509.1","brown","rna-XM_069254669.1","corticotropin-releasing factor receptor 2-like","corticotropin-releasing factor receptor 2-like","LOC111114967","cvn:111114967"
"189","XM_022453611.1","brown","rna-XM_069246589.1","corticotropin-releasing factor-binding protein-like","corticotropin-releasing factor-binding protein-like","LOC111115042","cvn:111115042"
"190","XM_022453707.1","brown","rna-XM_069254844.1",NA,NA,NA,NA
"191","XM_022454426.1","brown","rna-XM_069254192.1","aquaporin-11-like","aquaporin-11-like","LOC111115615","cvn:111115615"
"192","XM_022454505.1","brown","rna-XM_069249939.1",NA,NA,NA,NA
"193","XM_022454545.1","brown","rna-XM_069263505.1","solute carrier family 25 member 40-like","solute carrier family 25 member 40-like","LOC111115710","cvn:111115710"
"194","XM_022454799.1","brown","rna-XM_069282651.1",NA,NA,NA,NA
"195","XM_022454890.1","brown","rna-XM_069275884.1","transmembrane protein 233-like","transmembrane protein 233-like","LOC111115959","cvn:111115959"
"196","XM_022455030.1","brown","rna-XM_069250026.1","calmodulin-like protein 4","calmodulin-like protein 4","LOC111116046","cvn:111116046"
"197","XM_022455409.1","brown","rna-XM_069260666.1","apoptogenic protein 1, mitochondrial-like","apoptogenic protein 1, mitochondrial-like","LOC111116418","cvn:111116418"
"198","XM_022455574.1","brown","rna-XM_069278072.1","catenin delta-2-like","catenin delta-2-like","LOC111116519","cvn:111116519"
"199","XM_022455622.1","brown","rna-XM_069264888.1","serine/threonine-protein kinase greatwall-like","serine/threonine-protein kinase greatwall-like","LOC111116615","cvn:111116615"
"200","XM_022455622.1","brown","rna-XM_069264888.1","serine/threonine-protein kinase greatwall-like","serine/threonine-protein kinase greatwall-like","LOC111116615","cvn:111116615"
"201","XM_022455850.1","brown","rna-XM_069272985.1",NA,NA,NA,NA
"202","XM_022456373.1","brown","rna-XM_069265622.1","ATP-dependent zinc metalloprotease FtsH-like","ATP-dependent zinc metalloprotease FtsH-like","LOC111117309","cvn:111117309"
"203","XM_022456577.1","brown","rna-XM_069250254.1","glycoprotein 3-alpha-L-fucosyltransferase A-like","glycoprotein 3-alpha-L-fucosyltransferase A-like","LOC111117450","cvn:111117450"
"204","XM_022457159.1","brown","rna-XM_069267757.1","suppressor of cytokine signaling 2-like","suppressor of cytokine signaling 2-like","LOC111117924","cvn:111117924"
"205","XM_022457217.1","brown","rna-XM_069271187.1","zinc finger protein 367-like","zinc finger protein 367-like","LOC111117965","cvn:111117965"
"206","XM_022457218.1","brown","rna-XM_069271190.1","translation initiation factor eIF-2B subunit beta-like","translation initiation factor eIF-2B subunit beta-like","LOC111117966","cvn:111117966"
"207","XM_022457270.1","brown","rna-XM_069271800.1","MAP kinase-interacting serine/threonine-protein kinase 1-like","MAP kinase-interacting serine/threonine-protein kinase 1-like","LOC111118004","cvn:111118004"
"208","XM_022457285.1","brown","rna-XM_069267582.1","exocyst complex component 7-like","exocyst complex component 7-like","LOC111118022","cvn:111118022"
"209","XM_022457392.1","brown","rna-XM_069268845.1","interferon regulatory factor 1-like","interferon regulatory factor 1-like","LOC111118092","cvn:111118092"
"210","XM_022457392.1","brown","rna-XM_069268849.1","interferon regulatory factor 1-like","interferon regulatory factor 1-like","LOC111118092","cvn:111118092"
"211","XM_022457595.1","brown","rna-XM_069268020.1","integrator complex subunit 3 homolog","integrator complex subunit 3 homolog","LOC111118244","cvn:111118244"
"212","XM_022457643.1","brown","rna-XM_069271326.1","E3 ubiquitin-protein ligase MIB1-like","E3 ubiquitin-protein ligase MIB1-like","LOC111118271","cvn:111118271"
"213","XM_022457725.1","brown","rna-XM_069275137.1",NA,NA,NA,NA
"214","XM_022457742.1","brown","rna-XM_069267791.1",NA,NA,NA,NA
"215","XM_022457833.1","brown","rna-XM_069268959.1","PDZ and LIM domain protein 3-like","PDZ and LIM domain protein 3-like","LOC111118386","cvn:111118386"
"216","XM_022457883.1","brown","rna-XM_069273429.1","sodium/glucose cotransporter 4-like","sodium/glucose cotransporter 4-like","LOC111118412","cvn:111118412"
"217","XM_022457933.1","brown","rna-XM_069271307.1","growth arrest and DNA damage-inducible protein GADD45 beta-like","growth arrest and DNA damage-inducible protein GADD45 beta-like","LOC111118444","cvn:111118444"
"218","XM_022457933.1","brown","rna-XM_069271306.1","growth arrest and DNA damage-inducible protein GADD45 beta-like","growth arrest and DNA damage-inducible protein GADD45 beta-like","LOC111118444","cvn:111118444"
"219","XM_022457943.1","brown","rna-XM_069270280.1",NA,NA,NA,NA
