"","Cvirginica_TranscriptID","moduleColor","Airradians_TranscriptID","Protein_name","Cvirginica_ProteinID","Cvirginica_GeneID","Cvirginica_KEGGID"
"32","XM_022439941.1","black","rna-XM_069272940.1","chromatin modification-related protein MEAF6-like","chromatin modification-related protein MEAF6-like","LOC111105580","cvn:111105580"
"33","XM_022439983.1","black","rna-XM_069274837.1","60S ribosomal protein L44-like","60S ribosomal protein L44-like","LOC111105616","cvn:111105616"
"34","XM_022440354.1","black","rna-XM_069286573.1","pseudouridylate synthase 7 homolog","pseudouridylate synthase 7 homolog","LOC111105897","cvn:111105897"
"35","XM_022440641.1","black","rna-XM_069248789.1","UDP-N-acetylglucosamine transferase subunit ALG13 homolog","UDP-N-acetylglucosamine transferase subunit ALG13 homolog","LOC111106109","cvn:111106109"
"36","XM_022440951.1","black","rna-XM_069245192.1","60S ribosomal protein L18a-like","60S ribosomal protein L18a-like","LOC111106322","cvn:111106322"
"37","XM_022441163.1","black","rna-XM_069286533.1","40S ribosomal protein S23","40S ribosomal protein S23","LOC111106468","cvn:111106468"
"38","XM_022441665.1","black","rna-XM_069244833.1","trichohyalin-like","trichohyalin-like","LOC111106830","cvn:111106830"
"39","XM_022444791.1","black","rna-XM_069245149.1","translocon-associated protein subunit delta-like","translocon-associated protein subunit delta-like","LOC111108737","cvn:111108737"
"40","XM_022445477.1","black","rna-XM_069285393.1","protein lin-37 homolog","protein lin-37 homolog","LOC111109397","cvn:111109397"
"41","XM_022445653.1","black","rna-XM_069256571.1","26S proteasome non-ATPase regulatory subunit 10-like","26S proteasome non-ATPase regulatory subunit 10-like","LOC111109505","cvn:111109505"
"42","XM_022446307.1","black","rna-XM_069285766.1","EF-hand calcium-binding domain-containing protein 12-like","EF-hand calcium-binding domain-containing protein 12-like","LOC111110006","cvn:111110006"
"43","XM_022446339.1","black","rna-XM_069245300.1","ragulator complex protein LAMTOR5 homolog","ragulator complex protein LAMTOR5 homolog","LOC111110025","cvn:111110025"
"44","XM_022447158.1","black","rna-XM_069277821.1","transcription initiation factor TFIID subunit 11-like","transcription initiation factor TFIID subunit 11-like","LOC111110592","cvn:111110592"
"45","XM_022447170.1","black","rna-XM_069249397.1","putative peptidyl-tRNA hydrolase PTRHD1","putative peptidyl-tRNA hydrolase PTRHD1","LOC111110602","cvn:111110602"
"46","XM_022447849.1","black","rna-XM_069255478.1","protein Fer3-like","protein Fer3-like","LOC111111083","cvn:111111083"
"47","XM_022448174.1","black","rna-XM_069264913.1","hercynylcysteine sulfoxide lyase-like","hercynylcysteine sulfoxide lyase-like","LOC111111292","cvn:111111292"
"48","XM_022448430.1","black","rna-XM_069255233.1","60S ribosomal protein L27","60S ribosomal protein L27","LOC111111438","cvn:111111438"
"49","XM_022449732.1","black","rna-XM_069254803.1","tyrosine-protein phosphatase non-receptor type 4-like","tyrosine-protein phosphatase non-receptor type 4-like","LOC111112307","cvn:111112307"
"50","XM_022449732.1","black","rna-XM_069254803.1","tyrosine-protein phosphatase non-receptor type 4-like","tyrosine-protein phosphatase non-receptor type 4-like","LOC111112307","cvn:111112307"
"51","XM_022449732.1","black","rna-XM_069254803.1","tyrosine-protein phosphatase non-receptor type 4-like","tyrosine-protein phosphatase non-receptor type 4-like","LOC111112307","cvn:111112307"
"52","XM_022450026.1","black","rna-XM_069276222.1","adenosine monophosphate-protein transferase FICD-like","adenosine monophosphate-protein transferase FICD-like","LOC111112503","cvn:111112503"
"53","XM_022450107.1","black","rna-XM_069255637.1","elongation factor 1-beta-like","elongation factor 1-beta-like","LOC111112573","cvn:111112573"
"54","XM_022450124.1","black","rna-XM_069255270.1","RNA-binding motif, single-stranded-interacting protein 3-like","RNA-binding motif, single-stranded-interacting protein 3-like","LOC111112585","cvn:111112585"
"55","XM_022450892.1","black","rna-XM_069254403.1","BMP and activin membrane-bound inhibitor homolog","BMP and activin membrane-bound inhibitor homolog","LOC111112989","cvn:111112989"
"56","XM_022451062.1","black","rna-XM_069258859.1","calmodulin-A-like","calmodulin-A-like","LOC111113021","cvn:111113021"
"57","XM_022451375.1","black","rna-XM_069254928.1","5'-AMP-activated protein kinase subunit gamma-2-like","5'-AMP-activated protein kinase subunit gamma-2-like","LOC111113264","cvn:111113264"
"58","XM_022451810.1","black","rna-XM_069267224.1","monocarboxylate transporter 13-like","monocarboxylate transporter 13-like","LOC111113514","cvn:111113514"
"59","XM_022452387.1","black","rna-XM_069276258.1","40S ribosomal protein S11-like","40S ribosomal protein S11-like","LOC111114067","cvn:111114067"
"60","XM_022453021.1","black","rna-XM_069255149.1","probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial","probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial","LOC111114632","cvn:111114632"
"61","XM_022453199.1","black","rna-XM_069249524.1","60S acidic ribosomal protein P1-like","60S acidic ribosomal protein P1-like","LOC111114718","cvn:111114718"
"62","XM_022453649.1","black","rna-XM_069246639.1","histidine triad nucleotide-binding protein 1-like","histidine triad nucleotide-binding protein 1-like","LOC111115069","cvn:111115069"
"63","XM_022453757.1","black","rna-XM_069255230.1","60S ribosomal protein L37a","60S ribosomal protein L37a","LOC111115132","cvn:111115132"
"64","XM_022454936.1","black","rna-XM_069245653.1","40S ribosomal protein S27-like","40S ribosomal protein S27-like","LOC111115985","cvn:111115985"
"65","XM_022455203.1","black","rna-XM_069281215.1","zinc transporter ZIP1-like","zinc transporter ZIP1-like","LOC111116219","cvn:111116219"
"66","XM_022455409.1","black","rna-XM_069260666.1","apoptogenic protein 1, mitochondrial-like","apoptogenic protein 1, mitochondrial-like","LOC111116418","cvn:111116418"
"67","XM_022455537.1","black","rna-XM_069277028.1","succinate dehydrogenase assembly factor 2-B, mitochondrial-like","succinate dehydrogenase assembly factor 2-B, mitochondrial-like","LOC111116508","cvn:111116508"
"68","XM_022455622.1","black","rna-XM_069264888.1","serine/threonine-protein kinase greatwall-like","serine/threonine-protein kinase greatwall-like","LOC111116615","cvn:111116615"
"69","XM_022455622.1","black","rna-XM_069264888.1","serine/threonine-protein kinase greatwall-like","serine/threonine-protein kinase greatwall-like","LOC111116615","cvn:111116615"
"70","XM_022457014.1","black","rna-XM_069271551.1","degenerin mec-10-like","degenerin mec-10-like","LOC111117766","cvn:111117766"
"71","XM_022457310.1","black","rna-XM_069270936.1","eukaryotic translation initiation factor 3 subunit E-like","eukaryotic translation initiation factor 3 subunit E-like","LOC111118029","cvn:111118029"
"72","XM_022457345.1","black","rna-XM_069272195.1","iron-sulfur cluster assembly 1 homolog, mitochondrial-like","iron-sulfur cluster assembly 1 homolog, mitochondrial-like","LOC111118056","cvn:111118056"
"73","XM_022457419.1","black","rna-XM_069265403.1","60S ribosomal protein L23","60S ribosomal protein L23","LOC111118104","cvn:111118104"
"74","XM_022457442.1","black","rna-XM_069267019.1","40S ribosomal protein S9","40S ribosomal protein S9","LOC111118126","cvn:111118126"
"75","XM_022457442.1","black","rna-XM_069253791.1","40S ribosomal protein S9","40S ribosomal protein S9","LOC111118126","cvn:111118126"
"76","XM_022457561.1","black","rna-XM_069259379.1","beta-1,3-galactosyltransferase 5-like","beta-1,3-galactosyltransferase 5-like","LOC111118222","cvn:111118222"
"77","XM_022457605.1","black","rna-XM_069271689.1","40S ribosomal protein S12-like","40S ribosomal protein S12-like","LOC111118248","cvn:111118248"
"78","XM_022457608.1","black","rna-XM_069268743.1","NAD-dependent protein deacetylase SRT1-like","NAD-dependent protein deacetylase SRT1-like","LOC111118250","cvn:111118250"
"79","XM_022457686.1","black","rna-XM_069250544.1","survival of motor neuron-related-splicing factor 30-like","survival of motor neuron-related-splicing factor 30-like","LOC111118274","cvn:111118274"
"80","XM_022457754.1","black","rna-XM_069267807.1","40S ribosomal protein S15Aa","40S ribosomal protein S15Aa","LOC111118348","cvn:111118348"
"81","XM_022457884.1","black","rna-XM_069271526.1","transcription initiation factor IIE subunit beta-like","transcription initiation factor IIE subunit beta-like","LOC111118413","cvn:111118413"
"82","XM_022458026.1","black","rna-XM_069270927.1","40S ribosomal protein S20","40S ribosomal protein S20","LOC111118510","cvn:111118510"
"83","XM_022458054.1","black","rna-XM_069267284.1","40S ribosomal protein SA-like","40S ribosomal protein SA-like","LOC111118540","cvn:111118540"
"84","XM_022458848.1","black","rna-XM_069267558.1","40S ribosomal protein S2","40S ribosomal protein S2","LOC111119040","cvn:111119040"
"85","XM_022458872.1","black","rna-XM_069268119.1","60S ribosomal protein L34-like","60S ribosomal protein L34-like","LOC111119059","cvn:111119059"
"86","XM_022458920.1","black","rna-XM_069277574.1","60S ribosomal protein L12-like","60S ribosomal protein L12-like","LOC111119071","cvn:111119071"
"87","XM_022458995.1","black","rna-XM_069270822.1","histidine triad nucleotide-binding protein 3-like","histidine triad nucleotide-binding protein 3-like","LOC111119139","cvn:111119139"
"88","XM_022459137.1","black","rna-XM_069271766.1","hippocalcin-like protein 1","hippocalcin-like protein 1","LOC111119206","cvn:111119206"
"89","XM_022459436.1","black","rna-XM_069266918.1","40S ribosomal protein S24-like","40S ribosomal protein S24-like","LOC111119359","cvn:111119359"
"90","XM_022459620.1","black","rna-XM_069256795.1","alpha-L-fucosidase-like","alpha-L-fucosidase-like","LOC111119431","cvn:111119431"
"91","XM_022459637.1","black","rna-XM_069268187.1","histone H2A.V","histone H2A.V","LOC111119449","cvn:111119449"
"92","XM_022459870.1","black","rna-XM_069270879.1","39S ribosomal protein L15, mitochondrial-like","39S ribosomal protein L15, mitochondrial-like","LOC111119576","cvn:111119576"
"93","XM_022460201.1","black","rna-XM_069268569.1","60S ribosomal protein L10-like","60S ribosomal protein L10-like","LOC111119745","cvn:111119745"
"94","XM_022460303.1","black","rna-XM_069271772.1","zinc transporter 7-like","zinc transporter 7-like","LOC111119803","cvn:111119803"
"95","XM_022460725.1","black","rna-XM_069275662.1","60S ribosomal protein L27a-like","60S ribosomal protein L27a-like","LOC111120067","cvn:111120067"
"96","XM_022461359.1","black","rna-XM_069267187.1","40S ribosomal protein S14","40S ribosomal protein S14","LOC111120557","cvn:111120557"
"97","XM_022461471.1","black","rna-XM_069271243.1","probable 60S ribosomal protein L37-A","probable 60S ribosomal protein L37-A","LOC111120619","cvn:111120619"
"98","XM_022461675.1","black","rna-XM_069268756.1","ragulator complex protein LAMTOR2-like","ragulator complex protein LAMTOR2-like","LOC111120742","cvn:111120742"
"99","XM_022461739.1","black","rna-XM_069269395.1","target of rapamycin complex subunit lst8-like","target of rapamycin complex subunit lst8-like","LOC111120776","cvn:111120776"
"100","XM_022461846.1","black","rna-XR_011207555.1","sushi domain-containing protein 2-like","sushi domain-containing protein 2-like","LOC111120847","cvn:111120847"
"101","XM_022462028.1","black","rna-XM_069267594.1","COP9 signalosome complex subunit 4-like","COP9 signalosome complex subunit 4-like","LOC111120963","cvn:111120963"
"102","XM_022462225.1","black","rna-XM_069251492.1","WD repeat-containing protein 70-like","WD repeat-containing protein 70-like","LOC111121099","cvn:111121099"
"103","XM_022462396.1","black","rna-XM_069269207.1","5-demethoxyubiquinone hydroxylase, mitochondrial-like","5-demethoxyubiquinone hydroxylase, mitochondrial-like","LOC111121226","cvn:111121226"
"104","XM_022462396.1","black","rna-XM_069269205.1","5-demethoxyubiquinone hydroxylase, mitochondrial-like","5-demethoxyubiquinone hydroxylase, mitochondrial-like","LOC111121226","cvn:111121226"
"105","XM_022462631.1","black","rna-XM_069267577.1","guanine nucleotide-binding protein subunit beta-2-like 1","guanine nucleotide-binding protein subunit beta-2-like 1","LOC111121370","cvn:111121370"
"106","XM_022463025.1","black","rna-XM_069269848.1","DNA-binding protein inhibitor ID-2-A-like","DNA-binding protein inhibitor ID-2-A-like","LOC111121660","cvn:111121660"
"107","XM_022463264.1","black","rna-XM_069268774.1","sodium/calcium exchanger 3-like","sodium/calcium exchanger 3-like","LOC111121830","cvn:111121830"
"108","XM_022463302.1","black","rna-XM_069270416.1","40S ribosomal protein S7-like","40S ribosomal protein S7-like","LOC111121848","cvn:111121848"
"109","XM_022463370.1","black","rna-XM_069265308.1","multivesicular body subunit 12B-like","multivesicular body subunit 12B-like","LOC111121893","cvn:111121893"
"110","XM_022463955.1","black","rna-XM_069269859.1","glucosidase 2 subunit beta-like","glucosidase 2 subunit beta-like","LOC111122293","cvn:111122293"
"111","XM_022464201.1","black","rna-XM_069265497.1","26S proteasome non-ATPase regulatory subunit 9-like","26S proteasome non-ATPase regulatory subunit 9-like","LOC111122411","cvn:111122411"
"112","XM_022464259.1","black","rna-XM_069271130.1","40S ribosomal protein S21-like","40S ribosomal protein S21-like","LOC111122453","cvn:111122453"
"113","XM_022464298.1","black","rna-XM_069272935.1","calmodulin-4-like","calmodulin-4-like","LOC111122517","cvn:111122517"
"114","XM_022464403.1","black","rna-XM_069259499.1","ubiquitin-60S ribosomal protein L40","ubiquitin-60S ribosomal protein L40","LOC111122600","cvn:111122600"
"115","XM_022464504.1","black","rna-XM_069264658.1","endothelial differentiation-related factor 1 homolog","endothelial differentiation-related factor 1 homolog","LOC111122652","cvn:111122652"
"116","XM_022464520.1","black","rna-XM_069258908.1","uncharacterized","uncharacterized","LOC111122663","cvn:111122663"
"117","XM_022464766.1","black","rna-XM_069251695.1","angio-associated migratory cell protein-like","angio-associated migratory cell protein-like","LOC111122807","cvn:111122807"
"118","XM_022464806.1","black","rna-XM_069273499.1","60S ribosomal protein L21-like","60S ribosomal protein L21-like","LOC111122819","cvn:111122819"
"119","XM_022465348.1","black","rna-XM_069281685.1","proteasome assembly chaperone 4-like","proteasome assembly chaperone 4-like","LOC111123181","cvn:111123181"
"120","XM_022466232.1","black","rna-XM_069247550.1","tripartite motif-containing protein 2-like","tripartite motif-containing protein 2-like","LOC111123703","cvn:111123703"
"121","XM_022466303.1","black","rna-XM_069249332.1","tubulin beta chain-like","tubulin beta chain-like","LOC111123746","cvn:111123746"
"122","XM_022466695.1","black","rna-XM_069274368.1","cyclin-I-like","cyclin-I-like","LOC111123952","cvn:111123952"
"123","XM_022467108.1","black","rna-XM_069274515.1","uncharacterized","uncharacterized","LOC111124252","cvn:111124252"
"124","XM_022467814.1","black","rna-XM_069252537.1","homeobox protein Mohawk-like","homeobox protein Mohawk-like","LOC111124697","cvn:111124697"
"125","XM_022467984.1","black","rna-XM_069274686.1","NEDD4 family-interacting protein 1-like","NEDD4 family-interacting protein 1-like","LOC111124793","cvn:111124793"
"126","XM_022467991.1","black","rna-XM_069252092.1","uncharacterized","uncharacterized","LOC111124800","cvn:111124800"
"127","XM_022468134.1","black","rna-XM_069250468.1","60S ribosomal protein L19-like","60S ribosomal protein L19-like","LOC111124874","cvn:111124874"
"128","XM_022468171.1","black","rna-XM_069267862.1","histone H3.3","histone H3.3","LOC111124901","cvn:111124901"
"129","XM_022468515.1","black","rna-XM_069274153.1","arachidonate 5-lipoxygenase-like","arachidonate 5-lipoxygenase-like","LOC111125061","cvn:111125061"
"130","XM_022468590.1","black","rna-XM_069284732.1","galectin-4-like","galectin-4-like","LOC111125115","cvn:111125115"
"131","XM_022468640.1","black","rna-XM_069275064.1","mothers against decapentaplegic homolog 5-like","mothers against decapentaplegic homolog 5-like","LOC111125137","cvn:111125137"
"132","XM_022468823.1","black","rna-XM_069251700.1","40S ribosomal protein S26-like","40S ribosomal protein S26-like","LOC111125240","cvn:111125240"
"133","XM_022469114.1","black","rna-XM_069265398.1","60S ribosomal protein L7a-like","60S ribosomal protein L7a-like","LOC111125367","cvn:111125367"
"134","XM_022469145.1","black","rna-XM_069259472.1","selenoprotein S-like","selenoprotein S-like","LOC111125386","cvn:111125386"
"135","XM_022469477.1","black","rna-XM_069265214.1","40S ribosomal protein S5","40S ribosomal protein S5","LOC111125548","cvn:111125548"
"136","XM_022469529.1","black","rna-XM_069274276.1","small ubiquitin-related modifier 2-like","small ubiquitin-related modifier 2-like","LOC111125574","cvn:111125574"
"137","XM_022469609.1","black","rna-XM_069274544.1","E3 ubiquitin-protein ligase RBX1","E3 ubiquitin-protein ligase RBX1","LOC111125628","cvn:111125628"
"138","XM_022469665.1","black","rna-XM_069272960.1","eukaryotic translation initiation factor 3 subunit F-like","eukaryotic translation initiation factor 3 subunit F-like","LOC111125652","cvn:111125652"
"139","XM_022469767.1","black","rna-XM_069251443.1","eukaryotic translation initiation factor 1-like","eukaryotic translation initiation factor 1-like","LOC111125711","cvn:111125711"
"140","XM_022469989.1","black","rna-XM_069271702.1","DNA-directed RNA polymerase III subunit RPC9-like","DNA-directed RNA polymerase III subunit RPC9-like","LOC111125826","cvn:111125826"
"141","XM_022470280.1","black","rna-XM_069265019.1","queuine tRNA-ribosyltransferase accessory subunit 2-like","queuine tRNA-ribosyltransferase accessory subunit 2-like","LOC111125966","cvn:111125966"
"142","XM_022470420.1","black","rna-XM_069265576.1","60S ribosomal protein L28-like","60S ribosomal protein L28-like","LOC111126040","cvn:111126040"
"143","XM_022470475.1","black","rna-XM_069273459.1","40S ribosomal protein S3","40S ribosomal protein S3","LOC111126078","cvn:111126078"
"144","XM_022470538.1","black","rna-XM_069274961.1","40S ribosomal protein S3a-like","40S ribosomal protein S3a-like","LOC111126128","cvn:111126128"
"145","XM_022470632.1","black","rna-XM_069264720.1","ubiquitin-related modifier 1-like","ubiquitin-related modifier 1-like","LOC111126179","cvn:111126179"
"146","XM_022470671.1","black","rna-XM_069274935.1","calcium uptake protein 3, mitochondrial-like","calcium uptake protein 3, mitochondrial-like","LOC111126203","cvn:111126203"
"147","XM_022470782.1","black","rna-XM_069263044.1","BTB/POZ domain-containing protein KCTD4-like","BTB/POZ domain-containing protein KCTD4-like","LOC111126267","cvn:111126267"
"148","XM_022470798.1","black","rna-XM_069266006.1","40S ribosomal protein S18","40S ribosomal protein S18","LOC111126281","cvn:111126281"
"149","XM_022470941.1","black","rna-XM_069281823.1","uncharacterized oxidoreductase TM_0325-like","uncharacterized oxidoreductase TM_0325-like","LOC111126371","cvn:111126371"
"150","XM_022471177.1","black","rna-XM_069263433.1","glutamine synthetase-like","glutamine synthetase-like","LOC111126492","cvn:111126492"
"151","XM_022471185.1","black","rna-XM_069274284.1","zinc finger matrin-type protein 2-like","zinc finger matrin-type protein 2-like","LOC111126498","cvn:111126498"
"152","XM_022471372.1","black","rna-XM_069265382.1","60S ribosomal protein L5-like","60S ribosomal protein L5-like","LOC111126614","cvn:111126614"
"153","XM_022471432.1","black","rna-XM_069259846.1","28S ribosomal protein S18a, mitochondrial-like","28S ribosomal protein S18a, mitochondrial-like","LOC111126648","cvn:111126648"
"154","XM_022472256.1","black","rna-XM_069259640.1","leucine-rich repeat-containing protein 58-like","leucine-rich repeat-containing protein 58-like","LOC111127183","cvn:111127183"
"155","XM_022472493.1","black","rna-XM_069275317.1","60S ribosomal protein L9-like","60S ribosomal protein L9-like","LOC111127354","cvn:111127354"
"156","XM_022472613.1","black","rna-XM_069265108.1","60S ribosomal protein L35-like","60S ribosomal protein L35-like","LOC111127437","cvn:111127437"
"157","XM_022472858.1","black","rna-XM_069265268.1","erythrocyte band 7 integral membrane protein-like","erythrocyte band 7 integral membrane protein-like","LOC111127605","cvn:111127605"
"158","XM_022472901.1","black","rna-XM_069276653.1","40S ribosomal protein S16","40S ribosomal protein S16","LOC111127638","cvn:111127638"
"159","XM_022473010.1","black","rna-XM_069282704.1","30S ribosomal protein S11-like","30S ribosomal protein S11-like","LOC111127769","cvn:111127769"
"160","XM_022473448.1","black","rna-XM_069262277.1","lamin-B receptor-like","lamin-B receptor-like","LOC111128051","cvn:111128051"
"161","XM_022473556.1","black","rna-XM_069261111.1","mediator of RNA polymerase II transcription subunit 6-like","mediator of RNA polymerase II transcription subunit 6-like","LOC111128102","cvn:111128102"
"162","XM_022473607.1","black","rna-XM_069263854.1","nascent polypeptide-associated complex subunit alpha-like","nascent polypeptide-associated complex subunit alpha-like","LOC111128139","cvn:111128139"
"163","XM_022473715.1","black","rna-XM_069254789.1","calmodulin-like protein 12","calmodulin-like protein 12","LOC111128214","cvn:111128214"
"164","XM_022474258.1","black","rna-XM_069280578.1","40S ribosomal protein S15-like","40S ribosomal protein S15-like","LOC111128580","cvn:111128580"
"165","XM_022474513.1","black","rna-XM_069282686.1","DAZ-associated protein 1-like","DAZ-associated protein 1-like","LOC111128721","cvn:111128721"
"166","XM_022474564.1","black","rna-XM_069282494.1","60S ribosomal protein L17-like","60S ribosomal protein L17-like","LOC111128745","cvn:111128745"
"167","XM_022475058.1","black","rna-XM_069261647.1","DNA-directed RNA polymerase II subunit RPB9-like","DNA-directed RNA polymerase II subunit RPB9-like","LOC111129014","cvn:111129014"
"168","XM_022475059.1","black","rna-XM_069261646.1","protein-cysteine N-palmitoyltransferase HHAT-like","protein-cysteine N-palmitoyltransferase HHAT-like","LOC111129015","cvn:111129015"
"169","XM_022475149.1","black","rna-XM_069262453.1","tetraspanin-18-like","tetraspanin-18-like","LOC111129071","cvn:111129071"
"170","XM_022475174.1","black","rna-XM_069275130.1","uncharacterized","uncharacterized","LOC111129087","cvn:111129087"
"171","XM_022475482.1","black","rna-XM_069261712.1","nucleoside diphosphate kinase 6-like","nucleoside diphosphate kinase 6-like","LOC111129228","cvn:111129228"
"172","XM_022475510.1","black","rna-XM_069264190.1","neutral and basic amino acid transport protein rBAT-like","neutral and basic amino acid transport protein rBAT-like","LOC111129231","cvn:111129231"
"173","XM_022475528.1","black","rna-XM_069261116.1","acylphosphatase-1-like","acylphosphatase-1-like","LOC111129260","cvn:111129260"
"174","XM_022475581.1","black","rna-XM_069281561.1","NADH-quinone oxidoreductase subunit B 2-like","NADH-quinone oxidoreductase subunit B 2-like","LOC111129296","cvn:111129296"
"175","XM_022475779.1","black","rna-XM_069261608.1","dnaJ homolog subfamily C member 17-like","dnaJ homolog subfamily C member 17-like","LOC111129406","cvn:111129406"
"176","XM_022475787.1","black","rna-XM_069250545.1","60S ribosomal protein L11-like","60S ribosomal protein L11-like","LOC111129410","cvn:111129410"
"177","XM_022475826.1","black","rna-XM_069254849.1","neo-calmodulin-like","neo-calmodulin-like","LOC111129441","cvn:111129441"
"178","XM_022475829.1","black","rna-XM_069258840.1","calmodulin","calmodulin","LOC111129443","cvn:111129443"
"179","XM_022475884.1","black","rna-XM_069282520.1","uncharacterized","uncharacterized","LOC111129481","cvn:111129481"
"180","XM_022476091.1","black","rna-XM_069262975.1","protein phosphatase 1 regulatory subunit 37-like","protein phosphatase 1 regulatory subunit 37-like","LOC111129633","cvn:111129633"
"181","XM_022476144.1","black","rna-XM_069260284.1","epididymal secretory protein E1-like","epididymal secretory protein E1-like","LOC111129681","cvn:111129681"
"182","XM_022476255.1","black","rna-XM_069254837.1","calmodulin-like protein 12","calmodulin-like protein 12","LOC111129799","cvn:111129799"
"183","XM_022476255.1","black","rna-XM_069263237.1","calmodulin-like protein 12","calmodulin-like protein 12","LOC111129799","cvn:111129799"
"184","XM_022476255.1","black","rna-XM_069258843.1","calmodulin-like protein 12","calmodulin-like protein 12","LOC111129799","cvn:111129799"
