"","Cvirginica_KEGGID","Type","KEGGID_pathway","pathway.name","Num.genes.all","Num.genes.exp","Gene.IDs","Rich_factor","pvalue","log10_pvalue","qvalue","Protein_name","Cvirginica_TranscriptID","Airradians_TranscriptID"
"65","cvn:111119040","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111119040",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S2","XM_022458848.1","rna-XM_069267558.1"
"66","cvn:111118510","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111118510",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S20","XM_022458026.1","rna-XM_069270927.1"
"67","cvn:111122453","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111122453",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S21-like","XM_022464259.1","rna-XM_069271130.1"
"68","cvn:111106468","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111106468",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S23","XM_022441163.1","rna-XM_069286533.1"
"69","cvn:111119359","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111119359",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S24-like","XM_022459436.1","rna-XM_069266918.1"
"70","cvn:111119359","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111119359",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S24-like","XM_022459436.1","rna-XM_069266919.1"
"71","cvn:111125240","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111125240",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S26-like","XM_022468823.1","rna-XM_069251700.1"
"72","cvn:111115985","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111115985",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S27-like","XM_022454936.1","rna-XM_069245653.1"
"73","cvn:111126078","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111126078",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S3","XM_022470475.1","rna-XM_069273459.1"
"74","cvn:111126128","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111126128",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S3a-like","XM_022470538.1","rna-XM_069274961.1"
"75","cvn:111102380","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111102380",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S4-like","XM_022435081.1","rna-XM_069271952.1"
"76","cvn:111125548","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111125548",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S5","XM_022469477.1","rna-XM_069265214.1"
"77","cvn:111130771","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111130771",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S6-like","XM_022478004.1","rna-XM_069282367.1"
"78","cvn:111121848","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111121848",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S7-like","XM_022463302.1","rna-XM_069270416.1"
"79","cvn:111135077","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111135077",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S8-like","XM_022484792.1","rna-XM_069249895.1"
"80","cvn:111118126","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111118126",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S9","XM_022457442.1","rna-XM_069253791.1"
"81","cvn:111118126","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111118126",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S9","XM_022457442.1","rna-XM_069267019.1"
"82","cvn:111118540","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111118540",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein SA-like","XM_022458054.1","rna-XM_069267284.1"
"83","cvn:111130039","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111130039",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S acidic ribosomal protein P0-like","XM_022476705.1","rna-XM_069249421.1"
"84","cvn:111114718","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111114718",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S acidic ribosomal protein P1-like","XM_022453199.1","rna-XM_069249524.1"
"85","cvn:111137903","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111137903",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S acidic ribosomal protein P2-like","XM_022489606.1","rna-XM_069280278.1"
"86","cvn:111119745","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111119745",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L10-like","XM_022460201.1","rna-XM_069268569.1"
"87","cvn:111129410","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111129410",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L11-like","XM_022475787.1","rna-XM_069250545.1"
"88","cvn:111119071","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111119071",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L12-like","XM_022458920.1","rna-XM_069277574.1"
"89","cvn:111135849","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111135849",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L13-like","XM_022486262.1","rna-XM_069256550.1"
"90","cvn:111103110","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111103110",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L13a-like","XM_022436139.1","rna-XM_069270119.1"
"91","cvn:111136230","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111136230",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L14-like","XM_022486934.1","rna-XM_069257804.1"
"92","cvn:111128745","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111128745",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L17-like","XM_022474564.1","rna-XM_069282494.1"
"93","cvn:111106322","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111106322",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L18a-like","XM_022440951.1","rna-XM_069245192.1"
"94","cvn:111124874","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111124874",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L19-like","XM_022468134.1","rna-XM_069250468.1"
"95","cvn:111122819","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111122819",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L21-like","XM_022464806.1","rna-XM_069273499.1"
"96","cvn:111118104","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111118104",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L23","XM_022457419.1","rna-XM_069265403.1"
"97","cvn:111132903","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111132903",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L23a-like","XM_022480834.1","rna-XM_069279118.1"
"98","cvn:111136425","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111136425",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L26-like","XM_022487266.1","rna-XM_069283504.1"
"99","cvn:111111438","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111111438",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L27","XM_022448430.1","rna-XM_069255233.1"
"100","cvn:111120067","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111120067",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L27a-like","XM_022460725.1","rna-XM_069275662.1"
"101","cvn:111126040","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111126040",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L28-like","XM_022470420.1","rna-XM_069265576.1"
"102","cvn:111135345","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111135345",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L30-like","XM_022485315.1","rna-XM_069250955.1"
"103","cvn:111101507","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111101507",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L32-like","XM_022434060.1","rna-XM_069277577.1"
"104","cvn:111119059","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111119059",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L34-like","XM_022458872.1","rna-XM_069268119.1"
"105","cvn:111127437","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111127437",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L35-like","XM_022472613.1","rna-XM_069265108.1"
"106","cvn:111101860","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111101860",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L35a-like","XM_022434493.1","rna-XM_069248726.1"
"107","cvn:111131049","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111131049",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L36-like","XM_022478379.1","rna-XM_069281773.1"
"108","cvn:111115132","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111115132",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"60S ribosomal protein L37a","XM_022453757.1","rna-XM_069255230.1"
