initial_alias,converted_alias,name,description,namespace
LOC111113369,LOC111113369,LOC111113369,"kelch-like protein 24, transcript variant X2",ENSG
LOC111113633,LOC111113633,LOC111113633,"uncharacterized LOC111113633, transcript variant X1",ENSG
LOC111114019,LOC111114019,LOC111114019,mucin-16-like,ENSG
LOC111114537,LOC111114537,LOC111114537,sperm-associated antigen 1-like,ENSG
LOC111114979,LOC111114979,LOC111114979,"stabilizer of axonemal microtubules 2-like, transcript variant X2",ENSG
LOC111115153,LOC111115153,LOC111115153,pre-mRNA-processing factor 40 homolog A-like,ENSG
LOC111115421,LOC111115421,LOC111115421,"sperm-associated antigen 16 protein-like, transcript variant X2",ENSG
LOC111115607,LOC111115607,LOC111115607,"growth/differentiation factor 8-like, transcript variant X2",ENSG
LOC111117151,LOC111117151,LOC111117151,ralA-binding protein 1-like,ENSG
LOC111117947,LOC111117947,LOC111117947,"erlin-2-B-like, transcript variant X2",ENSG
LOC111118438,LOC111118438,LOC111118438,AP-4 complex subunit beta-1-like,ENSG
LOC111119072,LOC111119072,LOC111119072,"tyrosine-protein kinase SRK2-like, transcript variant X4",ENSG
LOC111119100,LOC111119100,LOC111119100,"uncharacterized LOC111119100, transcript variant X7",ENSG
LOC111119531,LOC111119531,LOC111119531,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like,ENSG
LOC111119766,LOC111119766,LOC111119766,ubiquitin carboxyl-terminal hydrolase 14-like,ENSG
LOC111119788,LOC111119788,LOC111119788,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like,ENSG
LOC111119832,LOC111119832,LOC111119832,"amyloid protein-binding protein 2-like, transcript variant X1",ENSG
LOC111119946,LOC111119946,LOC111119946,"WD repeat-containing protein 78-like, transcript variant X3",ENSG
LOC111120536,LOC111120536,LOC111120536,"leucine-rich repeat-containing protein 45-like, transcript variant X1",ENSG
LOC111120600,LOC111120600,LOC111120600,cilia- and flagella-associated protein 57-like,ENSG
LOC111120808,LOC111120808,LOC111120808,cilia- and flagella-associated protein 52-like,ENSG
LOC111120813,LOC111120813,LOC111120813,"tetratricopeptide repeat protein 30A-like, transcript variant X1",ENSG
LOC111121413,LOC111121413,LOC111121413,uncharacterized LOC111121413,ENSG
LOC111121662,LOC111121662,LOC111121662,"uncharacterized LOC111121662, transcript variant X1",ENSG
LOC111121849,LOC111121849,LOC111121849,"dynein intermediate chain 3, ciliary-like, transcript variant X2",ENSG
LOC111121925,LOC111121925,LOC111121925,intraflagellar transport protein 74 homolog,ENSG
LOC111122590,LOC111122590,LOC111122590,leucine-rich repeat-containing protein 59-like,ENSG
LOC111122703,LOC111122703,LOC111122703,advillin-like,ENSG
LOC111122805,LOC111122805,LOC111122805,"kinesin-like protein KIF9, transcript variant X1",ENSG
LOC111123621,LOC111123621,LOC111123621,"heat shock protein 75 kDa, mitochondrial-like",ENSG
LOC111124373,LOC111124373,LOC111124373,putative ankyrin repeat protein RF_0381,ENSG
LOC111124684,LOC111124684,LOC111124684,"kinesin-like protein KIF28P, transcript variant X1",ENSG
LOC111124887,LOC111124887,LOC111124887,"armadillo repeat-containing protein 4-like, transcript variant X1",ENSG
LOC111125001,LOC111125001,LOC111125001,"cilia- and flagella-associated protein 44-like, transcript variant X3",ENSG
LOC111125061,LOC111125061,LOC111125061,"arachidonate 5-lipoxygenase-like, transcript variant X3",ENSG
LOC111125428,LOC111125428,LOC111125428,"cytoplasmic dynein 2 heavy chain 1-like, transcript variant X3",ENSG
LOC111125479,LOC111125479,LOC111125479,uncharacterized LOC111125479,ENSG
LOC111125555,LOC111125555,LOC111125555,"arfaptin-2-like, transcript variant X1",ENSG
LOC111125740,LOC111125740,LOC111125740,"armadillo repeat-containing protein 3-like, transcript variant X1",ENSG
LOC111125754,LOC111125754,LOC111125754,TRAF3-interacting protein 1-like,ENSG
LOC111125839,LOC111125839,LOC111125839,"abnormal spindle-like microcephaly-associated protein homolog, transcript variant X2",ENSG
LOC111125942,LOC111125942,LOC111125942,"centriolin-like, transcript variant X25",ENSG
LOC111126178,LOC111126178,LOC111126178,"transient receptor potential cation channel subfamily V member 5-like, transcript variant X1",ENSG
LOC111126510,LOC111126510,LOC111126510,leucine-rich repeat and death domain-containing protein 1-like,ENSG
LOC111126780,LOC111126780,LOC111126780,"oral-facial-digital syndrome 1 protein-like, transcript variant X2",ENSG
LOC111126900,LOC111126900,LOC111126900,"retinoblastoma-binding protein 5-like, transcript variant X2",ENSG
LOC111127090,LOC111127090,LOC111127090,mitochondrial import receptor subunit TOM70-like,ENSG
LOC111127316,LOC111127316,LOC111127316,"armadillo repeat-containing protein 8-like, transcript variant X2",ENSG
LOC111127370,LOC111127370,LOC111127370,"transient receptor potential cation channel subfamily V member 5-like, transcript variant X1",ENSG
LOC111127536,LOC111127536,LOC111127536,tetratricopeptide repeat protein 29-like,ENSG
LOC111127735,LOC111127735,LOC111127735,cactin-like,ENSG
LOC111127975,LOC111127975,LOC111127975,"protein kinase C and casein kinase substrate in neurons protein 2-like, transcript variant X7",ENSG
LOC111128069,LOC111128069,LOC111128069,"neuropeptide prohormone-4-like, transcript variant X1",ENSG
LOC111128103,LOC111128103,LOC111128103,RNA polymerase-associated protein CTR9 homolog,ENSG
LOC111128153,LOC111128153,LOC111128153,U3 small nucleolar RNA-associated protein 15 homolog,ENSG
LOC111128350,LOC111128350,LOC111128350,"uncharacterized LOC111128350, transcript variant X1",ENSG
LOC111128500,LOC111128500,LOC111128500,"protein phosphatase 1 regulatory subunit 36-like, transcript variant X2",ENSG
LOC111129376,LOC111129376,LOC111129376,"dynein intermediate chain 2, ciliary-like, transcript variant X5",ENSG
LOC111129464,LOC111129464,LOC111129464,spermatogenesis-associated protein 17-like,ENSG
LOC111129666,LOC111129666,LOC111129666,inversin-B-like,ENSG
LOC111129667,LOC111129667,LOC111129667,leucine-rich repeat-containing protein 74B-like,ENSG
LOC111129962,LOC111129962,LOC111129962,leucine-rich repeat-containing protein 74B-like,ENSG
LOC111130486,LOC111130486,LOC111130486,ankyrin repeat and EF-hand domain-containing protein 1-like,ENSG
LOC111130668,LOC111130668,LOC111130668,leucine-rich repeat-containing protein 73-like,ENSG
LOC111130848,LOC111130848,LOC111130848,uncharacterized LOC111130848,ENSG
LOC111131580,LOC111131580,LOC111131580,T-complex-associated testis-expressed protein 1-like,ENSG
LOC111131811,LOC111131811,LOC111131811,KICSTOR complex protein kaptin-like,ENSG
LOC111132361,LOC111132361,LOC111132361,protein DDI1 homolog 2-like,ENSG
LOC111133152,LOC111133152,LOC111133152,"leucine-rich repeat-containing protein 34-like, transcript variant X3",ENSG
LOC111133328,LOC111133328,LOC111133328,"uncharacterized LOC111133328, transcript variant X3",ENSG
LOC111134076,LOC111134076,LOC111134076,"FK506-binding protein 3-like, transcript variant X3",ENSG
LOC111134314,LOC111134314,LOC111134314,"leucine-rich repeat-containing protein 23-like, transcript variant X1",ENSG
LOC111134709,LOC111134709,LOC111134709,leucine-rich repeat and coiled-coil domain-containing protein 1-like,ENSG
LOC111134716,LOC111134716,LOC111134716,"ranBP-type and C3HC4-type zinc finger-containing protein 1-like, transcript variant X1",ENSG
LOC111134885,LOC111134885,LOC111134885,nucleoporin SEH1-like,ENSG
LOC111136070,LOC111136070,LOC111136070,IQ domain-containing protein D-like,ENSG
LOC111136156,LOC111136156,LOC111136156,EF-hand calcium-binding domain-containing protein 5-like,ENSG
LOC111136516,LOC111136516,LOC111136516,"WD repeat-containing protein 60-like, transcript variant X4",ENSG
LOC111136780,LOC111136780,LOC111136780,"gamma-tubulin complex component 6-like, transcript variant X1",ENSG
LOC111137169,LOC111137169,LOC111137169,cilia- and flagella-associated protein 251-like,ENSG
LOC111137379,LOC111137379,LOC111137379,root phototropism protein 2-like,ENSG
LOC111137983,LOC111137983,LOC111137983,WD repeat-containing protein 54-like,ENSG
LOC111137999,LOC111137999,LOC111137999,microtubule-associated protein 9-like,ENSG
LOC111138334,LOC111138334,LOC111138334,growth arrest-specific protein 8-like,ENSG
LOC111138421,LOC111138421,LOC111138421,"intraflagellar transport protein 80 homolog, transcript variant X1",ENSG
